station_name,departures,arrivals,net_flow
Bloor St E / Huntley St - SMART,17540,17680,-140
Bloor St E / Parliament St,8545,8511,34
Bloor St W / Balmuto St,11941,11494,447
Bloor St W / Brock Ave,6359,6449,-90
Bloor St W / Christie St,17495,16959,536
Bloor St W / Dundas St W,11640,11786,-146
Bloor St W / Dundas St W (2),1133,1263,-130
Bloor St W / Gladstone Ave - SMART,8194,8285,-91
Bloor St W / High Park Ave (High Park),5136,4576,560
Bloor St W / Huron St,3785,2931,854
Bloor St W / Kingsmill Rd,617,549,68
Bloor St W / Manning Ave - SMART,23351,20589,2762
Bloor St W / Old Mill Trl,1432,1506,-74
Bloor St W / Pacific Ave,4898,5050,-152
Bloor St W / Riverside Dr,1102,1106,-4
Bloor St W / Shaw St - SMART,18957,16825,2132
Blythwood Rd / Yonge St - SMART,1380,1385,-5
Bond Ave / Don Mills Trail,85,85,0
Bond St / Queen St E,24026,26525,-2499
Boston Ave / Queen St E- SMART,2762,3365,-603
Braemar Ave / Eglinton Ave W,1284,1240,44
Brahms Ave / Finch Ave E,117,122,-5
Bremner Blvd / Rees St,19735,20397,-662
Briar Hill Ave / Yonge St - SMART,1624,1620,4
Brick Works,5939,6234,-295
Bridgman Ave / Bathurst St,3572,3484,88
Bridgman Ave / Kendal Ave,5876,5644,232
Brimley Rd / Lawrence Ave E,419,421,-2
Brimley Rd / McCowan District Park,258,256,2
Broadview Ave / Westwood Ave,4036,3830,206
Broadview Subway Station,10386,10448,-62
Brookdale Ave / Yonge St,1,2,-1
Brooklawn Ave / Kingston Rd,392,435,-43
Caledonia Rd / Lotherton Pathway,217,310,-93
Cariboo Ave / Railpath Trail,2029,1816,213
Carlaw Ave / Danforth Ave,6876,6810,66
Carlaw Ave / Dundas St E,13247,14037,-790
Carlaw Ave / Strathcona Ave,4659,4598,61
Carlton St / Parliament St,20140,20714,-574
Castle Frank Subway Station,4034,3834,200
Cedar Dr / Eglinton Ave E,90,88,2
Centennial College (Ashtonbee Campus),228,262,-34
Central Tech  (Harbord St),13793,14956,-1163
Charles St / Church St - SMART,2771,2707,64
Charles St E / Jarvis St - SMART,11721,9278,2443
Charles St W / Balmuto St - SMART,26846,24556,2290
Chatham Ave / Byron Ave,1732,1524,208
Cherry Beach,7637,8709,-1072
Cherry Beach Sports Fields (55 Unwin Ave),3110,3586,-476
Cherry St / Distillery Ln,11727,11998,-271
Cherry St / Lake Shore Blvd E,11045,11020,25
Chiltern Hill Rd / Eglinton Ave W,899,925,-26
Chorley Park - SMART,2440,2508,-68
Christie St / Benson Ave (Wychwood Barns),4779,3458,1321
Christie St / Dupont St,6881,6114,767
Church St  / Wood St,27143,24364,2779
Church St / Alexander St,26220,19051,7169
Church St / Bloor St E,17569,17547,22
Church St / Dundas St E - SMART,12303,11728,575
Church St / Lombard St,14966,15618,-652
Church St / Shuter St,7477,8168,-691
Church St / The Esplanade,11011,12125,-1114
Claremont St / Dundas St W,14451,14661,-210
Clarence Square,17008,17928,-920
Clendenan Ave / Rowland St - SMART,880,833,47
Colgate Ave / Carlaw Ave,6493,7484,-991
College Park - Gerrard Entrance,25125,25164,-39
College Park - Yonge St Entrance,33204,32870,334
College Park South,22410,22266,144
College St / Borden St,17144,17242,-98
College St / Crawford St,23609,24017,-408
College St / Henry St,14793,14604,189
College St / Huron St,34851,34879,-28
College St / Major St,40197,40934,-737
College St / Markham St,34331,34630,-299
Colonel Danforth Park,917,909,8
Concord Ave / Bloor St W,10664,10483,181
Concord Ave / Dewson St,7866,7844,22
Coronation Park (Martin Goodman Trail),18620,19132,-512
Cosburn Ave / Cedarvale Ave,1263,1314,-51
Cosburn Ave / Donlands Ave,2549,2471,78
Cosburn Ave / Durant Ave,1093,973,120
Coxwell Ave / Plains Rd,1475,1397,78
Crawford St / Lobb Ave,3062,3911,-849
Crawford St / Queen St W,8696,9532,-836
Cruickshank Park,368,385,-17
Cumberland St / Bay St -  SMART,12508,12027,481
D'Arcy St / McCaul St - SMART,12284,12205,79
Dalton Rd / Bloor St W,14887,14959,-72
