station_name,departures,arrivals,net_flow
Princes' Gates,5881,5996,-115
Princess St / Front St E,24228,24804,-576
Priscilla Ave / Dundas St W,1030,1030,0
Queen St E / Alton Av,6027,6422,-395
Queen St E / Berkeley St,8450,8624,-174
Queen St E / Hammersmith Ave,995,1239,-244
Queen St E / Joseph Duggan Rd,3769,4257,-488
Queen St E / Nursewood Rd,2282,2598,-316
Queen St E / Pape Ave - SMART,5328,5995,-667
Queen St E / Rhodes Ave,3974,4228,-254
Queen St E / Rushbrooke Ave,5215,5709,-494
Queen St E / Sackville St,4853,4841,12
Queen St E / Woodward Ave,4259,4686,-427
Queen St W  /  Fuller Ave - SMART,5339,5555,-216
Queen St W / Close Ave,280,312,-32
Queen St W / Cowan Ave,7737,8024,-287
Queen St W / Dovercourt Rd,12517,13122,-605
Queen St W / John St,36949,38740,-1791
Queen St W / Ossington Ave,14496,16276,-1780
Queen St W / Shaw St,12792,13252,-460
Queen St W / Spadina Ave,12233,12141,92
Queen St. E / Eastern Ave,3069,3208,-139
Queen St. E / Spruce Hill Rd.,1774,2087,-313
Queen's Park / Bloor St W,22046,22450,-404
Queen's Park Cres E / Grosvenor St - SMART,9884,9658,226
Queen's Park Cres W / Hoskin Ave,17406,16932,474
Queens Park Cres / College St,14281,12989,1292
Queens Quay / Yonge St,34582,36873,-2291
Queens Quay E / Lower Jarvis St,23131,24360,-1229
Queens Quay E / Lower Sherbourne St,23493,24156,-663
Queens Quay E / Merchants' Wharf,7730,7678,52
Queens Quay W / Dan Leckie Way,13573,14287,-714
Queens Quay W / Lower Simcoe St,24330,26281,-1951
Ramsden Park,4548,4087,461
Randolph Ave / Perth Ave,3659,3378,281
Regal Rd / Dufferin St,1396,1341,55
Richmond St E / Jarvis St Green P,8749,6067,2682
Richmond St E / Yonge St,33603,33853,-250
Richmond St W / Bathurst St,12023,12266,-243
Richmond St W / York St,14062,14094,-32
Ripley Ave / Ormskirk Ave,1616,1999,-383
Riverdale Park North (Broadview Ave),9626,9919,-293
Riverdale Park South (Broadview Ave),5914,6030,-116
Robert St / Bloor St W - SMART,25483,24347,1136
Roehampton Ave / Bayview Ave,1235,1227,8
Roehampton Ave / Mount Pleasant Rd,1862,1945,-83
Rogers Rd / Bicknell Ave,647,632,15
Rogers Rd / Prospect Cemetery,508,492,16
Rogers Rd / Watt Ave,787,806,-19
Roncesvalles Ave / Fermanagh Ave,7141,7339,-198
Roncesvalles Ave / Marmaduke St,7106,7187,-81
Rosedale Park (20 Scholfield Ave),1783,1794,-11
Rosehill Ave / Avoca Ave - SMART,1633,1448,185
Ross St / Cecil St - SMART,8081,7778,303
Rouge Hill GO Station,1181,1205,-24
Roxborough St W / Yonge St,704,669,35
Roxton Rd / Harbord St,5553,5613,-60
Royal York Rd / Lake Shore Blvd W,1580,1687,-107
Royal York Rd / Mimico Ave,1204,1230,-26
Runnymede Rd / Annette St,2754,2732,22
Rusholme Park Cres / College St,11313,11544,-231
Rushton Rd / St. Clair Ave W,2204,2191,13
Russell Hill Rd / St. Clair Ave W,2717,1908,809
Sackville St / Eastern Ave - SMART,5527,5779,-252
Salem Ave / Bloor St W,8839,8910,-71
Scarborough GO Station,35,22,13
Scarborough Soccer Centre,362,357,5
Scarlett Rd / Clairton Cres,55,83,-28
Scarlett Rd / Eileen Ave,358,390,-32
Scarlett Rd / Old Scarlett Rd,361,376,-15
Scott St / The Esplanade,16765,17294,-529
Seaton St / Dundas St E - SMART,9421,8667,754
Second St / Lake Shore Blvd W,1512,1632,-120
Sentinel Rd / Finch Ave W,447,429,18
Sentinel Rd / Finch Corridor Trail,1495,1517,-22
Sentinel Rd / Sheppard Ave W,216,214,2
Sharpe St / Park St (Sandown Park),220,213,7
Shaughnessy Blvd / Sheppard Ave E,117,115,2
Shaw St / Essex St - SMART,9596,9869,-273
Shaw St / King St W,15630,16070,-440
Sheppard Ave E / Leslie St,164,159,5
Sheppard Ave W / Chesswood Dr,344,314,30
Sherbourne St / Carlton St (Allan Gardens),17933,18081,-148
Sherbourne St / Isabella St,20966,19515,1451
Sherbourne St / Wellesley St E,23455,16277,7178
Sherbourne St N / Elm Ave,4876,4672,204
Shuter St/River St,13404,13569,-165
Simcoe St / Dundas St W,16168,13626,2542
Simcoe St / Elm St,7880,7957,-77
Simcoe St / King St W,18108,18218,-110
Simcoe St / Michael Sweet Ave,7637,7623,14
Simcoe St / Pullan Pl,6092,6196,-104
Simcoe St / Queen St W,28322,29713,-1391
Simcoe St / Wellington St W (North),7526,7644,-118
Simcoe St / Wellington St W South,13564,13634,-70
Sixth St / Lake Shore Blvd W,917,996,-79
Slan Ave / Scarborough Golf Club Rd,203,203,0
Soho St / Queen St W,27950,29777,-1827
Sorauren Ave / Geoffrey St - SMART,4913,4899,14
Soudan Ave / Yonge St,6260,4996,1264
Southwood Dr / Kingston Rd - SMART,2337,2384,-47
Spadina Ave / Adelaide St W,31207,31524,-317
Spadina Ave / Blue Jays Way,13940,11743,2197
Spadina Ave / Bulwer St- SMART,12086,12361,-275
Spadina Ave / Fort York Blvd,18896,19244,-348
Spadina Ave / Harbord St - SMART,32506,28174,4332
Spadina Ave / Sullivan St,21149,21572,-423
Spadina Ave / Sussex Ave,15222,9567,5655
Spadina Ave / Willcocks St,12792,12789,3
Spadina Rd / Austin Terrace,2988,2238,750
Spadina Rd / St. Clair Ave W,1940,1473,467
St Clair Ave W / Oakwood Ave,1616,1545,71
St Clarens Ave / College St,4178,4282,-104
St Clarens Ave / Shirley St,2503,2561,-58
St. Andrew's Playground Park,14295,14377,-82
St. Clair Ave W / Avenue Rd,4735,3697,1038
St. Clair Ave W / Bathurst St,4500,3363,1137
St. Clair Ave W / Caledonia Rd,690,658,32
St. Clair Ave W / Castleton Ave,2134,2122,12
St. Clair Ave W / Gunns Rd,1939,1604,335
St. Clair Ave W / Osler St,3590,3559,31
St. Clair Ave W / Robina Ave,2015,1867,148
St. Clair Ave W / Symes Rd,689,717,-28
St. Clair Ave W / Winona Dr,3478,3202,276
St. Clair West Subway Station - Heath St. W,1423,1282,141
St. Columba Pl / St. Clair Ave E,852,944,-92
St. George St / Bloor St W,33948,33647,301
St. George St / Hoskin Ave,20921,20336,585
St. George St / Willcocks St,15495,14486,1009
St. John's Rd / Dundas St W,1595,1613,-18
St. Joseph St / Bay St - SMART,19891,16812,3079
Starspray Blvd / Lawrence Ave E,931,963,-32
Sterling Rd / Dundas St W,1616,1283,333
Strachan Ave / East Liberty St - SMART,27262,27390,-128
Strachan Ave / Princes' Blvd,7349,8694,-1345
Sumach St  / Queen St E,11270,11264,6
Sumach St / Carlton St (Riverdale Farm),8975,9005,-30
Summerhill Ave / Maclennan Ave,1941,1996,-55
Summerhill Subway Station,5938,6006,-68
Sunnybrook Health Centre - L Wing,976,716,260
Sunnybrook Health Centre - S Wing,1850,1610,240
Sunnybrook Park,1141,1142,-1
Sunnyside - Gus Ryder Pool,10133,10751,-618
Sunnyside Ave / The Queensway - SMART,5964,6201,-237
Superior Ave / Lake Shore Blvd W,1976,2086,-110
Sussex Ave / St George St,10255,9686,569
Swansea Community Centre,1854,1811,43
Symes Rd / Glen Scarlett Rd - SMART,277,275,2
Symington Ave / Davenport Rd,2115,2066,49
Symington Ave / Dupont St,5403,5400,3
Taddle Creek Park,11820,10842,978
Talbot Rd / Finch Hydro Corridor,258,248,10
Tangiers Rd / Finch Ave W,126,110,16
Tecumseth St / Queen St W - SMART,22066,22795,-729
Tecumseth St / Tecumseth Pl,82,84,-2
Ted Rogers Way / Bloor St E,15349,9609,5740
Teddington Park Ave,543,571,-28
Temperance St / Bay St,17827,18046,-219
Temperance St Station,26948,33021,-6073
The Esplanade / Hahn Pl,1177,1252,-75
The Kingsway / Ashley Rd,521,590,-69
The Pond Rd / Ian Macdonald Blvd,939,896,43
The Pond Rd / Sentinel Rd,1177,1139,38
The Pond Rd / Shoreham Dr,345,321,24
The Queensway / High St,1456,1498,-42
The Queensway at South Kingsway,1574,1741,-167
The Well,24409,24681,-272
Thompson St / Broadview Ave - SMART,9397,11182,-1785
Thompson St / Carroll St,5212,5645,-433
Thorncliffe Park Dr / Leaside Park Trail,1481,1533,-52
Tiago Ave / Westview Blvd,389,457,-68
Tobermory Dr / Finch Corridor Trail,173,164,9
Tommy Thompson Park (Leslie Street Spit),18562,19049,-487
Toronto Eaton Centre (Yonge St) - SMART,22642,22514,128
Toronto Inukshuk Park,16155,16267,-112
Torresdale Ave / Antibes Dr,642,651,-9
Trent Ave / Danforth Ave,1516,1389,127
Trethewey Dr / Black Creek Dr,132,138,-6
Trethewey Dr / Jane St,131,116,15
Trinity St /Front St E,7370,7942,-572
Twelfth St / Thirteenth St,792,908,-116
Tyndall Ave / King St W - SMART,8591,8811,-220
Ulster St / Bathurst St,9502,9434,68
Union Station,44669,56261,-11592
Union Station (North),324,354,-30
University Ave / College St (East),16146,15578,568
University Ave / Gerrard St W (East Side),29135,37224,-8089
University Ave / Gerrard St W - SMART(South),4624,4472,152
University Ave / King St W - SMART,11759,11361,398
University Ave / Pearl St,7388,7576,-188
University Ave / Queen St W,11572,11267,305
University Ave / Richmond St W,7689,7694,-5
University of Toronto Scarborough,376,355,21
Uno Dr / The Queensway,1370,1454,-84
Ursula Franklin St / Huron St - SMART,10184,8844,1340
Ursula Franklin St / St. George St - SMART,18336,16771,1565
Vanauley St / Queen St W - SMART,13648,14068,-420
Vaughan Rd / Oakwood Ave,1079,926,153
Vaughan Rd /Wychwood Ave,1729,1527,202
Victoria Park Ave / Danforth Ave,2359,2288,71
Victoria Park Ave / Dawes Rd,832,764,68
Victoria Park Ave / Edge Park Ave,350,369,-19
Victoria Park Ave / Kingston Rd,1575,1604,-29
Victoria Park Subway Station - SMART,1526,1470,56
Viewmount Park,304,297,7
Wakunda Pl / O'Connor Dr,272,284,-12
Wallace Ave / Pauline Ave,3661,3648,13
Wallace Ave / Symington Ave - SMART,3498,3504,-6
Walnut Ave / Queen St W,16021,16273,-252
Walter Saunders Park,801,818,-17
Walton St / Elizabeth St - SMART,3359,3492,-133
Ward St / Wallace Ave,7403,7616,-213
Warden Subway Station,649,671,-22
Warehouse EBS-Station,5,9,-4
Waterfront Trail (Rouge Hill),3001,3035,-34
Wellesley St E / Jarvis St,6431,5672,759
Wellesley St E / Parliament St,12649,12850,-201
Wellesley St W / Queen's Park Cres,11896,11603,293
Wellesley Station Green P,29738,24742,4996
Wellington St W / Bay St,18662,23957,-5295
Wellington St W / Stafford St,16719,16925,-206
Wells Hill Ave / St. Clair Ave W,2475,2065,410
Wells St / Brunswick Ave,1311,1148,163
Wendover Rd / Bloor St W (Green P),677,688,-11
Western Battery Rd / Pirandello St,8671,8730,-59
Westmoreland Ave / Fernbank Ave,6915,6860,55
Weston Lions Park,665,691,-26
Weston Rd / Lanyard Rd,254,245,9
Weston Rd / Sheppard Ave W,241,243,-2
Weston Rd / St. Clair Ave W,1416,1337,79
Widmer St / Adelaide St W - SMART,34202,34007,195
Widmer St / King St W,21649,22702,-1053
Wilket Creek Park,1639,1651,-12
Willcocks St / St. George St,8461,6998,1463
Willingdon Blvd / Bloor St W (Green P),1526,1606,-80
Willowdale Ave / Bishop Ave,290,302,-12
Windsor St / Newcastle St,3503,3218,285
Winona Dr / Davenport Rd,3869,4066,-197
Wolseley St / Augusta Ave,11463,12713,-1250
Woodbine Ave / Lake Shore Blvd E,3837,4552,-715
Woodbine Ave / O'Connor Dr,921,882,39
Woodbine Subway Station,2815,2321,494
Wright Ave / Sorauren Ave - SMART,5305,5485,-180
Wychwood Ave / Benson Ave - SMART,2434,2050,384
Wynford Heights Cres / Concorde Pl,465,497,-32
Yarmouth Rd / Christie St,4911,4689,222
Yonge St / Alexander St - SMART,24322,23704,618
Yonge St / Aylmer Ave,7756,6144,1612
Yonge St / Bloor St,26861,27275,-414
Yonge St / Davisville Ave,3269,3101,168
Yonge St / Dundas Sq,26205,26879,-674
Yonge St / Dundonald St,16477,16143,334
Yonge St / Golfdale Rd,539,544,-5
Yonge St / Lake Shore Blvd E,0,1,-1
Yonge St / Lawrence Ave E,1476,1505,-29
Yonge St / Macpherson Ave,5442,4786,656
Yonge St / Merton St,3716,1525,2191
Yonge St / Montgomery Ave - SMART,1684,1634,50
Yonge St / North York Blvd,297,284,13
Yonge St / Orchard View Blvd,8989,5071,3918
Yonge St / Sheppard Ave E,538,535,3
Yonge St / St. Clair Ave,10631,8286,2345
Yonge St / Woburn Ave - SMART,461,423,38
Yonge St / Wood St,16391,15937,454
Yonge St / Yorkville Ave,21717,21593,124
York Mills Rd / Lesmill Rd,32,58,-26
York Recreation Centre,449,525,-76
York St / Harbour St (Love Park),11787,11965,-178
York St / Lake Shore Blvd W,21541,21854,-313
York St / Queen St W (City Hall),15267,15402,-135
York St / Queens Quay W,49586,55263,-5677
York St / Wellington St W (1),7235,7783,-548
York St / Wellington St W (2),4361,4759,-398
York University (Glendon Campus) - SMART,739,796,-57
York University Station (North),481,425,56
York University Station (South) - SMART,403,368,35
