station_name,departures,arrivals,net_flow
Baldwin St / Henry St,19334,19352,-18
Baldwin St / Spadina Ave - SMART,29246,29271,-25
Balliol St / Yonge St - SMART,4930,4695,235
Bartlett Parkette,10872,10931,-59
Bartley Park,14,15,-1
Bartley Park ,269,269,0
Barton Ave / Howland Ave - SMART,9202,8976,226
Bathurst St / Adelaide St W,24021,24058,-37
Bathurst St / Dundas St W,21213,21236,-23
Bathurst St / Fort York Blvd,15949,15966,-17
Bathurst St / Front St W,33671,33781,-110
Bathurst St / Housey St,19790,19817,-27
Bathurst St / Lennox St,11779,11801,-22
Bathurst St / Sheppard Ave W,644,645,-1
Bathurst St/Queens Quay(Billy Bishop Airport),27498,27599,-101
Bathurst Subway Station,8714,8614,100
Bay Mills Blvd / Birchmount Ave,166,166,0
Bay St / Albert St,23803,24047,-244
Bay St / Bloor St W (East Side),20135,20159,-24
Bay St / Bloor St W (West Side),9792,9695,97
Bay St / Charles St W - SMART,17985,17791,194
Bay St / College St (East Side),40355,40342,13
Bay St / College St (West Side) - SMART,19586,19585,1
Bay St / Dundas St W,29547,29657,-110
Bay St / Harbour St,955,1022,-67
Bay St / Harbour St ,12297,12297,0
Bay St / King St W,4481,4494,-13
Bay St / Queens Quay W (Ferry Terminal),37406,37574,-168
Bay St / Scollard St,6549,6504,45
Bay St / St. Joseph St,18066,18056,10
Bay St / Wellesley St W,37046,35895,1151
Baycrest Ave / Bathurst St,212,214,-2
Bayview Ave / Finch Recreational Trail,669,666,3
Bayview Ave / Lawren Harris Square,12013,12012,1
Beaty Ave / Queen St W,9102,9139,-37
Bellamy Rd N / The Meadoway,160,161,-1
Bellamy Rd S / Kingston Rd,185,188,-3
Bellwoods Ave / Treford Pl - SMART,8695,8663,32
Beltline Trail / Chaplin Cres,2356,2375,-19
Beltline Trail / Yonge St,3114,3125,-11
Benshire Dr / The Meadoway,183,183,0
Berkeley St / Adelaide St E - SMART,11142,11212,-70
Berkeley St / Dundas St E - SMART,11113,11134,-21
Bernadine St / Brimley Rd,159,165,-6
Berry Rd / Bell Manor Dr,1144,1171,-27
Bert Robinson Park,924,931,-7
Beverley St / College St,14215,14273,-58
Beverley St / Dundas St W,25842,25953,-111
Biidaasige Park (11 Munition St),46,51,-5
Birchcliff Ave / Kingston Rd,463,463,0
Birchmount Rd / Eglinton Ave E,124,123,1
Birchmount Rd / Kingston Rd,377,384,-7
Birchmount Rd / The Meadoway,228,229,-1
Blake St / Boultbee Ave,3588,3607,-19
Blantyre Park,707,717,-10
Bleecker St / St James Ave,14152,13595,557
Bloor St E / Huntley St - SMART,17410,17452,-42
Bloor St E / Parliament St,9507,9527,-20
Bloor St W / Balmuto St,10833,10833,0
Bloor St W / Brock Ave,7150,7172,-22
Bloor St W / Christie St,17985,18011,-26
Bloor St W / Dundas St W,10760,10793,-33
Bloor St W / Dundas St W (2),1390,1414,-24
Bloor St W / Gladstone Ave - SMART,7824,7837,-13
Bloor St W / High Park Ave (High Park),4580,4555,25
Bloor St W / Huron St,16219,15632,587
Bloor St W / Kingsmill Rd,450,454,-4
Bloor St W / Manning Ave - SMART,27717,27129,588
Bloor St W / Old Mill Trl,1430,1434,-4
Bloor St W / Pacific Ave,4428,4443,-15
Bloor St W / Riverside Dr,874,876,-2
Bloor St W / Shaw St - SMART,25358,24797,561
Blythwood Rd / Yonge St - SMART,1643,1663,-20
Bond Ave / Don Mills Trail,487,492,-5
Bond St / Queen St E,23043,23091,-48
Boston Ave / Queen St E- SMART,4230,4253,-23
Braemar Ave / Eglinton Ave W,1942,1963,-21
Brahms Ave / Finch Ave E,371,368,3
Bremner Blvd / Rees St,25932,26032,-100
Briar Hill Ave / Yonge St - SMART,1958,1964,-6
Brick Works,6307,6327,-20
Bridgman Ave / Bathurst St,4046,4069,-23
Bridgman Ave / Kendal Ave,4181,4214,-33
Bridlewood Park,143,149,-6
Brimley Rd / Brimorton Dr,60,61,-1
Brimley Rd / E Highland Creek Trail,60,58,2
Brimley Rd / Lawrence Ave E,13,13,0
Brimley Rd / Lawrence Ave E ,965,965,0
Brimley Rd / McCowan District Park,297,299,-2
Brimwood Blvd / North Scarborough Green Loop,98,95,3
Broadview Ave / Westwood Ave,4389,4351,38
Broadview Subway Station,10801,10805,-4
Brockley Dr / Lawrence Ave E,145,144,1
Brookdale Ave / Yonge St,1012,1010,2
Brooklawn Ave / Kingston Rd,559,560,-1
Caledonia Rd / Lotherton Pathway,399,410,-11
Cariboo Ave / Railpath Trail,2468,2485,-17
Carlaw Ave / Danforth Ave,4688,4673,15
Carlaw Ave / Dundas St E,12376,12405,-29
Carlaw Ave / Strathcona Ave,5600,5607,-7
Carlton St / Parliament St,20903,20910,-7
Castle Frank Subway Station,4045,4083,-38
Cedar Dr / Eglinton Ave E,148,145,3
Centennial College (Ashtonbee Campus),483,493,-10
Central Tech  (Harbord St),14698,14742,-44
Centre Island,30693,30693,0
Centre Island Ferry Dock,87208,87208,0
Charles St E / Jarvis St - SMART,8523,8523,0
Charles St W / Balmuto St - SMART,28922,28356,566
Chatham Ave / Byron Ave,1846,1846,0
Cherry Beach,14893,14902,-9
Cherry Beach Sports Fields (55 Unwin Ave),5633,5644,-11
Cherry St / Commissioners St,152,151,1
Cherry St / Distillery Ln,18086,18106,-20
Cherry St / Lake Shore Blvd E,12623,12622,1
Cherry St / Polson St,12486,12463,23
Chiltern Hill Rd / Eglinton Ave W,1134,1147,-13
Chorley Park - SMART,2623,2634,-11
Christie St / Benson Ave (Wychwood Barns),4277,4108,169
Christie St / Dupont St,7765,7753,12
Church St  / Wood St,29436,28613,823
Church St / Alexander St,28355,27252,1103
Church St / Bloor St E,17748,17795,-47
Church St / Cypress St,79,81,-2
Church St / Dundas St E - SMART,12824,12790,34
Church St / Lombard St,20846,20877,-31
Church St / Shuter St,25242,25274,-32
Church St / The Esplanade,15612,15662,-50
Claremont St / Dundas St W,16758,16764,-6
Clarence Square,17115,17115,0
Clendenan Ave / Rowland St - SMART,824,814,10
Clover Hill Park - SMART,6533,6540,-7
Colgate Ave / Carlaw Ave,7296,7361,-65
College Park - Gerrard Entrance,25977,25982,-5
College Park - Yonge St Entrance,32544,32705,-161
College Park South,22165,22177,-12
College St / Borden St,19406,19444,-38
College St / Crawford St,22059,22096,-37
College St / Henry St,1836,1845,-9
College St / Henry St ,11953,11953,0
College St / Huron St,31024,31041,-17
College St / Major St,39616,39727,-111
College St / Markham St,36582,36694,-112
Colonel Danforth Park,1172,1172,0
Commissioners St / Bouchette St,2142,2177,-35
Concord Ave / Bloor St W,13023,13009,14
Concord Ave / Bloor St W (South),4300,4300,0
Concord Ave / Dewson St,9660,9681,-21
Confederation Dr / Greencrest Cr,10,9,1
Coronation Park (Martin Goodman Trail),21859,21851,8
Corvette Ave / Kennedy Rd,96,91,5
Cosburn Ave / Cedarvale Ave,1545,1565,-20
Cosburn Ave / Donlands Ave,3306,3297,9
Cosburn Ave / Durant Ave,1189,1198,-9
Coxwell Ave / Plains Rd,1315,1325,-10
Crawford St / Lobb Ave,6894,6921,-27
Crawford St / Queen St W,8517,8522,-5
Cruickshank Park,246,245,1
Cumberland St / Bay St -  SMART,13037,13055,-18
D'Arcy St / McCaul St - SMART,12267,12275,-8
Dalton Rd / Bloor St W,14885,14917,-32
Dan Leckie Way / Fort York Blvd,1212,1210,2
Danforth Ave / Aldridge Ave,2165,2172,-7
Danforth Ave / Barrington Ave,3844,3845,-1
Danforth Ave / Coxwell Ave,5045,5036,9
Danforth Ave / Danforth Rd,691,694,-3
Danforth Ave / Dewhurst Blvd,4196,4158,38
Danforth Ave / Ellerbeck St,7178,7175,3
Danforth Ave / Gough Ave,11206,10978,228
Danforth Ave / Lamb Ave,6670,6602,68
Danforth Ave / Warden Ave,354,361,-7
Danforth Ave / Westlake Ave,2817,2821,-4
Danforth Rd / Birchmount Rd,31,32,-1
Danforth Rd / Birchmount Rd ,375,375,0
Danforth Rd / Savarin St,141,140,1
Danforth Rd / St Clair Ave E,50,59,-9
Davenport Rd / Avenue Rd,9616,9649,-33
Davenport Rd / Bathurst St,1779,1790,-11
Davenport Rd / Bedford Rd,10031,10057,-26
Davenport Rd / Christie St,4893,4623,270
Davenport Rd / Dovercourt Rd - SMART,1089,1089,0
Davenport Rd / Lansdowne Ave,3045,3063,-18
Davenport Rd / McAlpine St - SMART,4134,4144,-10
Davisville Ave / Pailton Cres,2032,2055,-23
Dawes Rd / Taylor Creek Trl,1443,1442,1
Dentonia Park,1353,1355,-2
Don Mills Rd / Barber Greene Rd,243,255,-12
Don Mills Rd / Fairview Mall Dr,632,640,-8
Don Mills Rd / Goodview Rd,405,398,7
Donlands Subway Station,4250,4235,15
Downsview Park Blvd / Keele St  - SMART,2148,2149,-1
Downsview Park Subway Station - SMART,929,927,2
Driftwood Ave / Finch Corridor Trail,160,161,-1
Dubray Ave / Wilson Ave,345,344,1
Dufferin Gate - SMART,5530,5527,3
Dufferin St / Bloor St W,4731,4593,138
Dufferin St / Finch Corridor Trail,342,341,1
Dufferin St / King St W,403,404,-1
Dufferin St / Queen St W,3552,3544,8
Dufferin St / Sylvan Av (Dufferin Grove Park),11576,11600,-24
Dulverton Rd / Birchmount Rd,65,70,-5
Duncan Mill Rd / Valleybrook Dr,312,318,-6
Duncan St / Adelaide St W - SMART,15513,15514,-1
Duncanwoods Dr / Finch Ave W,63,63,0
Dundas St E / Boulton Ave - SMART,6259,6281,-22
Dundas St E / Broadview Ave,9014,9011,3
Dundas St E / George St,12109,11605,504
Dundas St E / Parliament St,20137,20143,-6
Dundas St E / Pembroke St,890,860,30
Dundas St E / Pembroke St ,7174,7174,0
Dundas St E / Regent Park Blvd,31776,31806,-30
Dundas St E / River St,18644,18647,-3
Dundas St W / Crawford St,34207,34207,0
Dundas St W / Edna Ave,8082,8076,6
Dundas St W / Prince Edward Dr N,902,907,-5
Dundas St W / Roncesvalles Ave Green P -SMART,3243,3243,0
Dundas St W / St Helen's Ave - SMART,4257,4167,90
Dundas St W / St. Patrick St,24950,25017,-67
Dundas St W / Yonge St,33067,33186,-119
Dundonald St / Church St,15616,14289,1327
Dunn Ave / Queen St W,1810,1820,-10
Durie St / Dundas St W,2181,2194,-13
E.T Seton Park - South,47,48,-1
E.T Seton Park - South ,1601,1601,0
E.T. Seton Park (Eglinton Ave E / Leslie St),1529,1531,-2
East Liberty St / Western Battery Rd,22160,22161,-1
East Lynn Ave / Danforth Ave,3244,3250,-6
Eastern Ave / Winnifred Ave,1435,1496,-61
Eastgate Cres / Pharmacy Ave,4,7,-3
Eastgate Cres / Pharmacy Ave ,191,191,0
Eastview Park,80,78,2
Eastwood Rd / Coxwell Ave,6325,6340,-15
Eastwood Rd / Woodbine Ave - SMART,1649,1664,-15
Edward St / Yonge St,23644,23665,-21
Eglinton Ave E / Brentcliffe Rd,2453,2468,-15
Eglinton Ave E / Brimley Rd,665,667,-2
Eglinton Ave E / Mason Rd,31,34,-3
Eglinton Ave E / Mason Rd ,251,251,0
Eglinton Ave E / Redpath Ave,6959,6765,194
Eglinton Ave E / Sloane Ave,121,119,2
Eglinton Ave E / Swift Dr,7,7,0
Eglinton Ave E / Victoria Park Ave,403,406,-3
Eglinton Ave W / Ennerdale Rd,441,446,-5
Eglinton Ave W / Gilbert Ave,412,399,13
Eglinton Ave W / Henning Ave SMART,1307,1310,-3
Eglinton Ave W / Oakwood Ave,703,707,-4
Eglinton Ave W / Prospect Cemetery,348,350,-2
Eglinton Ave W / Scarlett Rd,1295,1298,-3
Eglinton Ave W / Venn Cres,456,466,-10
Eglinton West Subway Station,1867,1882,-15
Elizabeth St / Edward St (Bus Terminal),15380,15379,1
Elizabeth St / Elm St,23625,23788,-163
Ellesmere Rd / Markham Rd,243,244,-1
Ellesmere Rd / Scarborough Golf Club Rd,3,2,1
Ellis Ave / The Queensway,2329,2335,-6
Elm St/ University Ave (East Side),11574,11737,-163
Elwood Blvd / Avenue Rd,549,558,-9
Emdaabiimok Ave / Lake Shore Blvd E,3682,3689,-7
Emerson Ave / Bloor St W,8102,8117,-15
Emmett Ave,325,332,-7
Empress Ave / Yonge St,1317,1320,-3
Erskine Ave / Redpath Ave,10,6,4
Erskine Ave / Yonge St SMART,1822,1834,-12
Essex St / Christie St,7469,7459,10
Esther Shiner Stadium,840,839,1
Euclid Ave / Bloor St W,11829,11778,51
Euclid Ave / Herrick St - SMART,5221,5240,-19
Euclid Ave / Queen St W - SMART,14181,14205,-24
Exbury Rd / Jane St,184,184,0
Exhibition GO (Atlantic Ave),9681,9763,-82
Exhibition GO Station,5499,5525,-26
Fairglen Cres / Weston Rd,282,280,2
Fairmount Park,1636,1712,-76
Fairview Mall Dr / Fairview Mall Dr E,263,261,2
Felstead Ave/Gillard Ave (Monarch Park),4773,4785,-12
Fenwood Ht / Kingston Rd,298,298,0
Ferrand Dr / Rochefort Dr,1036,1038,-2
Finch Ave E / Midland Ave,101,108,-7
Finch Ave E / Upper Don Recreational Trail,20,19,1
Finch Ave E / Upper Don Recreational Trail ,407,407,0
Finch Ave W / Bathurst St,305,306,-1
Finch Ave W / Weston Rd,71,71,0
Finch Ave W / Wilmington Ave,341,342,-1
Finch Subway Station,67,76,-9
Finch Subway Station ,2278,2278,0
Finch West Subway Station,901,901,0
Firvalley Ct / Warden Ave,137,145,-8
Fleming Cres / Bayview Ave,2535,2545,-10
Florence Gell Park,987,992,-5
Fort York  Blvd / Capreol Ct,34452,34273,179
Fort York Blvd / Bathurst St - SMART,12536,12543,-7
Fort York Blvd / Garrison Rd,12645,12669,-24
Fort York Blvd / Grand Magazine St,19745,19753,-8
Frederick St / King St E,38135,38263,-128
Frederick St / The Esplanade,5998,5998,0
Frobisher Ave / Lascelles Blvd,3143,3151,-8
Front St E / Bayview Avenue,12052,12106,-54
Front St E / Cherry St,8684,8684,0
Front St E / Cooperage St,12202,12251,-49
Front St E / Scott St,11612,11613,-1
Front St E / Scott St (2),4018,4024,-6
Front St W / Bay St (North Side),11755,11861,-106
Front St W / Bay St (South Side),19626,21334,-1708
Front St W / Blue Jays Way,15465,15467,-2
Front St W / Simcoe St,12590,12663,-73
Front St W / Spadina Ave,23637,23769,-132
Front St W / University Ave (1),13208,13233,-25
Front St W / University Ave (2),21326,21350,-24
Front St W / Yonge St (Hockey Hall of Fame),17152,17595,-443
Fulton Ave / Pape Ave,2716,2679,37
G Ross Lord Park,526,527,-1
Galbraith Rd / King's College Rd,13343,13349,-6
Galloway Rd / Kingston Rd,7,7,0
Galloway Rd / Kingston Rd ,75,75,0
Gamble Ave / Broadview Ave,4081,4023,58
Garden Ave / Roncesvalles Ave,7066,7075,-9
Gateway Blvd (South) / Don Mills Rd,322,325,-3
George St / King St E,5965,5977,-12
George St S / The Esplanade,781,750,31
Gerrard Square Mall (1010 Gerrard St E),11070,11089,-19
Gerrard St E / Broadview Ave  - SMART,10865,10897,-32
Gerrard St E / Leslie St,5084,5071,13
Gerrard St E / Main St,2282,2245,37
Gerrard St E / Malvern Ave - SMART,736,738,-2
Gerrard St E / Nasmith Ave,593,590,3
Gerrard St E / Nasmith Ave ,5339,5339,0
Gerrard St E / River St,3971,3971,0
Gerrard St E / Victoria Park Ave - SMART,1164,1172,-8
Gibraltar Point Beach,15524,15524,0
Gilder Dr / Midland Ave,222,225,-3
Gladstone Ave / Queen St W,15347,15372,-25
Glebe Rd W / Yonge St,1829,1829,0
Glen Edyth Dr / Davenport Rd,3366,3388,-22
Glen Long Community Centre,301,301,0
Glencairn Subway Station,565,566,-1
Glendonwynne Rd / Bloor St W,6443,6473,-30
Goodwood Park Crt / Dentonia Park,587,590,-3
Gordonridge Pl / Danforth Rd,590,592,-2
Gothic Ave / Quebec Ave,3469,3481,-12
Gould St / Mutual St,27610,27103,507
Gould St / Yonge St (TMU),18459,18452,7
Grafton Ave / Roncesvalles Ave,430,445,-15
Granby St / Church St - SMART,23664,23112,552
Grand Avenue Park,3870,3890,-20
Grantbrook St / Finch Hydro Corridor Trail,520,523,-3
Greenwood Ave / Gerrard St E,5464,5469,-5
Greenwood Ave / Sammon Ave,1282,1282,0
Grenoble Dr / Deauville Ln,166,170,-4
Grenoble Dr / Gateway Blvd,812,812,0
Grenoble Dr / Vendome Pl,358,357,1
Grenville St / Yonge St,2809,2837,-28
Grenville St / Yonge St ,10510,10510,0
Guildwood GO Station (South),345,355,-10
Gunns Rd / Lavender Creek Trail,323,325,-2
HTO Park (Queens Quay W),22793,22936,-143
HTO Park West,12021,12007,14
Hanlan's Point Beach,21153,21153,0
Hanlan's Point Ferry Dock,27627,27627,0
Hanna Ave / Liberty St,14275,14356,-81
Hanna Ave / Snooker St,12663,12660,3
Harbord St / Clinton St,6379,6414,-35
Harbord St / Grace St (Bickford Park),8304,8309,-5
Harvie Ave / Rogers Rd,575,573,2
Havelock St / Dewson St,3086,3093,-7
Havelock St / Dufferin Park,5553,5560,-7
Hawksbury Dr / Sheppard Ave E,16,15,1
Hawksbury Dr / Sheppard Ave E ,1002,1002,0
Hayter St / La Plante Ave,13283,13225,58
Heyworth Cres / Kingston Rd,1470,1494,-24
High Park - Grenadier Cafe,4253,4242,11
High Park - West Rd,3881,3881,0
High Park Amphitheatre,4509,4503,6
High Park Ave / Dundas St W,3289,3305,-16
High Park Blvd / Parkside Dr,6237,6247,-10
High Park Outdoor Pool,2703,2664,39
High Park Subway Station,3829,3840,-11
Highfield Rd / Gerrard St E,5002,5024,-22
Highview Ave / Kennedy Rd,604,614,-10
Hillsdale Ave E / Mount Pleasant Rd,2534,2547,-13
Hillsdale Ave W / Yonge St,2263,2270,-7
Hocken Ave / Vaughan Rd,2720,2707,13
Homewood Ave / Wellesley St E - SMART,7848,7929,-81
Housey St / Dan Leckie Way,18233,18259,-26
Howard Park Ave / Dundas St W - SMART,5264,5282,-18
Howard Park Ave / Parkside Dr,1712,1713,-1
Howard St / Rose Ave,5072,4948,124
Howard St / Sherbourne St,16037,15696,341
Hubbard Blvd / Balsam Av,2765,2773,-8
Hubbard Blvd / Glen Manor Dr,3123,3126,-3
Humber Bay Shores Park / Marine Parade Dr,12508,12519,-11
Humber Bay Shores Park East,10602,10622,-20
Humber Bay Shores Park West,9897,9921,-24
Humber College (Lakeshore Campus),1568,1580,-12
Humber College Blvd / Arboretum Blvd,119,119,0
Humber River Hospital,7,8,-1
Humber River Hospital ,327,327,0
Humberside Grounds - SMART,1159,1161,-2
Huntingwood Dr / Midland Ave,95,94,1
Huron St / Harbord St,7020,6356,664
Ionview Rd / Eglinton Ave E,373,375,-2
Isabella St / Church St,21657,20801,856
Islington Ave / Aviemore Dr,15,15,0
Islington Ave / Finch Ave W,233,233,0
Islington Subway Station (Aberfoyle Cres),1366,1379,-13
Jack Layton Ferry Terminal,10292,10272,20
James Gardens,96,98,-2
Jameson Ave / Queen St W,5611,5627,-16
Jane St / Bloor St W (Jane Subway Station),1914,1925,-11
Jane St / Finch Ave W,221,221,0
Jane St / Haney Ave,479,481,-2
Jane St / Lawrence Ave W,170,166,4
Jane St / Milo Park Gt,60,57,3
Jane St / Queens Dr,159,162,-3
Jane St / Sheppard Ave W,45,45,0
Jane St / Spenvalley Dr,31,27,4
Jane St / Weston Rd,255,260,-5
Jane St / Woolner Ave (Woolner Park),297,301,-4
Jane St / Yewtree Blvd,297,297,0
Jane St / Yorkwoods Gt,91,97,-6
Jarvis St / Carlton St,20189,20224,-35
Jarvis St / Dundas St E,26473,26481,-8
Jarvis St / Isabella St,11665,10958,707
Jarvis St / Maitland Pl,11504,11525,-21
Jarvis St / Richmond St E,20051,20041,10
Jimmie Simpson Park (Queen St E),9749,9921,-172
Joe Shuster Way / King St W,1330,1362,-32
Joe Shuster Way / King St W ,13537,13537,0
John Garland Blvd / Jamestown Cres,55,52,3
John St  / Mercer St - SMART,32773,32782,-9
Joseph J Piccininni Community Centre,1246,1223,23
Judson St / Royal York Rd,2488,2489,-1
Keele St / Annette St,3376,3399,-23
Keele St / Catford Rd,631,627,4
Keele St / Dovehouse Ave - SMART,587,584,3
Keele St / Ingram Dr,448,452,-4
Keele St / Lloyd Ave,1156,1160,-4
Keele St / Vine Ave,3184,3178,6
Keelegate Dr / Keele St,29,22,7
Kempford Blvd / Yonge St,1590,1589,1
Kendal Ave / Bernard Ave,5985,5995,-10
Kendal Ave / Spadina Rd,4467,4472,-5
Kennedy Rd / Bertrand Ave,41,40,1
Kennedy Rd / Finch Recreational Trail,82,81,1
Kennedy Rd/Ranstone Gdns (Jack Goodlad Park),385,383,2
Kewbeach Ave / Kenilworth Ave,4227,4268,-41
Kilgour Rd / Rumsey Rd,852,844,8
King St E / Berkeley St,16022,16200,-178
King St E / Church St,4688,5067,-379
King St E / Jarvis St,20364,20598,-234
King St E / River St,17942,17922,20
King St E / Victoria St,22456,22496,-40
King St W / Bay St (East Side),12396,12379,17
King St W / Bay St (West Side),31732,36389,-4657
King St W / Brant St,18215,18306,-91
King St W / Charlotte St,34995,35012,-17
King St W / Cowan Ave - SMART,7033,7048,-15
King St W / Crawford St,9011,8962,49
King St W / Douro St,11905,11927,-22
King St W / Fraser Ave,4431,4434,-3
King St W / Jameson Ave - SMART,6217,6220,-3
King St W / Joe Shuster Way,12136,12162,-26
King St W / Jordan St,7431,7437,-6
King St W / Portland St - SMART,39525,39579,-54
King St W / Spadina Ave,12485,12545,-60
King St W / Stafford St,10603,10573,30
King St W / Tecumseth St,20394,20383,11
King St W / University Ave,11134,11167,-33
King St W / Wilson Park Blvd,2975,2976,-1
King St W / York St,5243,5263,-20
King St W / York St (2),7744,7747,-3
King's Mill Park,2181,2173,8
Kingston Rd / Beech Ave,2230,2229,1
Kingston Rd / Glen Everest Rd,654,657,-3
Kingston Rd / Markham Rd,105,105,0
Kingston Rd / Ridgemoor Ave,1011,1018,-7
Kingston Rd / Scarborough Golf Club Rd,75,75,0
Kingston Rd / Warden Ave,736,737,-1
Kitchener Rd / Kingston Rd,6,6,0
Knob Hill Park,74,71,3
Laird Crosstown Station,24,30,-6
Lake Shore Blvd E / Knox Ave,1557,1559,-2
Lake Shore Blvd E / Leslie St,7125,7160,-35
Lake Shore Blvd W / Bathurst St,10535,10569,-34
Lake Shore Blvd W / Brow Dr,1003,1008,-5
Lake Shore Blvd W / Colborne Lodge Dr,9533,9542,-9
Lake Shore Blvd W / Ellis Ave,8540,8536,4
Lake Shore Blvd W / Legion Rd,3032,3044,-12
Lake Shore Blvd W / Long Branch Ave,869,875,-6
Lake Shore Blvd W / Ontario Dr,10623,10629,-6
Lake Shore Blvd W / Seventeenth St,966,977,-11
Lake Shore Blvd W / The Boulevard Club,9278,9293,-15
Lake Shore Blvd W / Thirty Ninth Street,552,558,-6
Lake Shore Blvd W / Twenty Fourth St,1208,1215,-7
Lake Shore Blvd W / Windermere Ave,6426,6427,-1
Langford Ave / Danforth Ave - SMART,5925,5767,158
Lansdowne Ave / Seaforth Ave,570,592,-22
Lansdowne Ave / Seaforth Ave ,4273,4273,0
Lansdowne Ave / Whytock Ave,3078,3092,-14
Lansdowne Subway Station,5367,5307,60
Lascelles Blvd / Eglinton Ave W,4277,4240,37
Lawrence Ave E / Burnview Cres,76,75,1
