station_name,departures,arrivals,net_flow
 George St S / The Esplanade,1799,1799,0
 Grafton Ave / Roncesvalles Ave,173,173,0
 Silverstone Dr / Stevenson Rd ,65,65,0
1 Market St,10109,10147,-38
1 Shortt St,2351,2179,172
101 Cedarvale Ave,3949,3743,206
11 Spadina Rd,10746,10512,234
111 Bond St (North of Dundas St E)  - SMART,5146,5162,-16
111 Broadview Ave,8277,8274,3
12 Harbour St,13890,13882,8
128 Sterling Rd - SMART,6319,6340,-21
1303 Yonge St - SMART,4232,4250,-18
135 Queens Wharf Rd - SMART,4820,4809,11
14 Arundel Ave,10177,9931,246
144 Harrison St,14101,13471,630
15 Price St,546,356,190
15 Price St ,5862,5862,0
1525 Dundas St W,10072,10099,-27
16 Riverview Gardens,88,52,36
16 Riverview Gardens ,1266,1266,0
161 Bleecker St (South of Wellesley),7906,7543,363
1612 Danforth Ave,401,179,222
1612 Danforth Ave ,3352,3352,0
165 McRae Dr,969,985,-16
1651 Queen St E,2,3,-1
19 Glendora Ave,1393,1377,16
190 Queens Quay E,10116,10120,-4
1926 Lake Shore Blvd W,3615,3615,0
20 Charles St E,19004,18743,261
200 Bloor St E,5018,4872,146
21 Pleasant Blvd (1),1151,1092,59
21 Pleasant Blvd (2),2819,2682,137
2201 Dundas St W,299,313,-14
2300 Lakeshore Blvd W,1457,1462,-5
24 Mountjoy Ave,1650,1628,22
25 Booth Ave,2800,2911,-111
25 St. Mary St,66,62,4
25 York St _ Union Station South,934,1013,-79
25 York St û Union Station South,1929,1929,0
25 York St – Union Station South,2311,2311,0
25 York St � Union Station South,3140,3140,0
265 Armadale Ave,6486,6230,256
2700 Eglinton Ave W,545,540,5
285 Victoria St,13737,14056,-319
3220 Bloor St W,1860,1816,44
33 Queen St E,9833,9492,341
35 Erindale Ave,4814,4539,275
36 Park Lawn Rd,3369,3393,-24
365 Lippincott St,20956,19651,1305
385 Pacific Ave,5956,5710,246
406 Oakwood Ave,1163,1175,-12
420 Wellington St W,25926,26284,-358
439 Sherbourne St,14134,13309,825
457 King St W,7750,7750,0
50 Overlea Blvd,1420,1434,-14
51 Parliament St,5427,5469,-42
519 Church St,431,438,-7
519 Church St ,3734,3734,0
541 Huron St - SMART,8570,8559,11
552 Birchmount Rd,115,115,0
60 Broadway Ave,2472,2486,-14
60 Carl Hall Rd - SMART,937,933,4
697 Lansdowne Ave,1094,853,241
697 Lansdowne Ave ,8728,8728,0
75 Holly St,6449,6233,216
75 Tandridge Cres,87,88,-1
75 Thorncliffe Park Dr,727,727,0
80 Clinton St,17855,17915,-60
800 Fleet St (North),14457,14065,392
800 Fleet St (South),12125,11729,396
803 Richmond St W,7912,7636,276
85 Lee Ave,4273,4331,-58
9 Willingdon Blvd,47,44,3
91 Via Italia,8015,7681,334
95 Beecroft Rd,2,2,0
Adelaide St E / Parliament St,13499,13477,22
Adelaide St W / Bay St,17295,19047,-1752
Adelaide St W / Bay St (South),3898,3859,39
Adelaide St W / Strachan Ave,13362,13350,12
Adelaide St W / Yonge St,17234,17243,-9
Adelaide St W / York St,1367,1365,2
Adelaide St W / York St ,10574,10574,0
Aga Khan Museum and Park (Wynford Dr),107,109,-2
Agincourt GO Station,38,23,15
Agincourt Recreation Centre,67,67,0
Alameda Ave / Vaughan Rd - SMART,447,452,-5
Albany Ave / Bloor St W,14758,14764,-6
Albany Ave / Dupont St,5063,5071,-8
Albion Rd / Finch Ave W,52,52,0
Albion Rd / Kipling Ave (Albion Arena),40,38,2
Albion Rd/ Arcot Blvd,344,344,0
Alma Ave / Gladstone Ave SMART,8682,8698,-16
Alton Ave / Dundas St E (Greenwood Park),3766,3803,-37
Alvin Ave / St. Clair Ave E,2965,2973,-8
Amelia St / Sumach St,5163,5177,-14
Amos Waites Park,2535,2537,-2
Amroth Ave / Danforth Ave,3197,3175,22
Ancaster Rd / Spalding Rd,203,203,0
Annette St / Dundas St W,4207,4211,-4
Annette St / Jane St,2409,2429,-20
Antibes Dr / Bathurst St,2,4,-2
Antler St / Campbell Ave - SMART,3529,3549,-20
Arlington Parkette,693,696,-3
Armel Ct / Albion Rd,479,479,0
Armoury St / Chestnut St,19589,19736,-147
Augusta Ave / Denison Sq,16702,16724,-22
Augusta Ave / Dundas St W,16417,16444,-27
Aurora Ct / Bridletowne Cir,177,179,-2
Avenue Rd / Cumberland St,1769,1788,-19
Avenue Rd / Cumberland St ,16710,16710,0
Avenue Rd / Macpherson Ave,291,299,-8
Avenue Rd / Macpherson Ave ,3205,3205,0
Avenue Rd / Oxton Ave,49,59,-10
Avenue Rd / Oxton Ave ,730,730,0
