year,month,is_weekend,avg_daily_trips,total_trips
2024,7,True,30844.0,246752
2024,8,False,29810.5,655830
2024,8,True,27924.9,251324
2024,9,False,30945.0,649846
2024,9,True,27976.9,251792
2024,10,False,26160.4,601690
2024,10,True,24041.4,192331
2024,11,False,19917.7,418272
2024,11,True,15264.0,137376
2024,12,False,8817.1,193976
2024,12,True,6441.2,57971
2025,1,False,7094.7,163178
2025,1,True,4971.0,39768
2025,2,False,5099.9,101998
2025,2,True,2959.0,23672
2025,3,False,11603.7,243678
2025,3,True,6850.0,68500
2025,4,False,15987.0,351713
2025,4,True,14976.5,119812
2025,5,False,23014.4,506316
2025,5,True,21460.6,193145
2025,6,False,31797.2,667742
2025,6,True,34764.7,312882
2025,7,False,38537.3,886358
2025,7,True,38213.0,305704
2025,8,False,36842.5,773692
2025,8,True,39100.5,391005
2025,9,False,35582.2,782808
2025,9,True,34899.1,279193
2025,10,False,27915.2,642050
2025,10,True,28804.0,230432
2025,11,False,18421.2,368424
2025,11,True,14351.0,143510
2025,12,False,7538.3,173382
2025,12,True,5444.8,43558
2026,1,False,4825.2,106154
2026,1,True,3464.7,31182
2026,2,False,4423.4,88467
2026,2,True,3055.4,24443
2026,3,False,10414.0,229107
2026,3,True,8080.0,72720
