line,day_of_week,hour,total_delays,significant_delays,mean_delay_min,median_delay_min,total_delay_min
BD,Sunday,5,5,1,2.0,0.0,10
BD,Sunday,6,7,0,0.57,0.0,4
BD,Sunday,7,49,4,0.59,0.0,29
BD,Sunday,8,125,36,4.31,3.0,539
BD,Sunday,9,50,5,1.64,0.0,82
BD,Sunday,10,54,11,2.72,0.0,147
BD,Sunday,11,75,5,0.99,0.0,74
BD,Sunday,12,49,9,1.9,0.0,93
BD,Sunday,13,63,12,2.19,0.0,138
BD,Sunday,14,61,6,1.03,0.0,63
BD,Sunday,15,74,10,1.86,0.0,138
BD,Sunday,16,69,8,1.68,0.0,116
BD,Sunday,17,65,14,3.46,0.0,225
BD,Sunday,18,65,13,2.38,0.0,155
BD,Sunday,19,70,14,2.5,0.0,175
BD,Sunday,20,52,9,1.92,0.0,100
BD,Sunday,21,70,17,3.01,0.0,211
BD,Sunday,22,70,17,3.09,0.0,216
BD,Sunday,23,49,12,3.63,0.0,178
