station,line,total_delays,significant_delays,total_delay_min,mean_delay_min,median_delay_min,pct_infrastructure,pct_operations,pct_safety,pct_equipment,pct_transportation
DUNDAS WEST STATION,BD,88,49,542,6.2,5.0,3.6900369003690034,39.85239852398524,38.37638376383764,7.9335793357933575,10.14760147601476
PAPE STATION,BD,76,42,542,7.1,5.0,0.0,45.571955719557195,37.63837638376384,14.022140221402212,2.7675276752767526
SPADINA STATION,YU,74,48,538,7.3,5.0,14.49814126394052,25.27881040892193,52.60223048327137,4.089219330855019,3.5315985130111525
HIGH PARK STATION,BD,84,45,526,6.3,5.0,31.93916349809886,21.102661596958175,26.23574144486692,8.745247148288973,11.977186311787072
LANSDOWNE STATION,BD,54,32,525,9.7,5.0,0.9523809523809524,58.666666666666664,23.809523809523807,9.714285714285714,6.857142857142858
QUEEN'S PARK STATION,YU,82,45,502,6.1,5.0,36.254980079681275,22.50996015936255,34.8605577689243,2.9880478087649402,3.386454183266932
DOWNSVIEW PARK STATION,YU,65,32,488,7.5,4.0,23.565573770491806,31.352459016393443,34.42622950819672,4.713114754098361,5.942622950819672
SHERBOURNE STATION,BD,68,38,484,7.1,5.0,4.338842975206612,34.090909090909086,52.68595041322314,3.512396694214876,5.371900826446281
DUFFERIN STATION,BD,55,36,480,8.7,6.0,3.958333333333333,26.666666666666668,63.541666666666664,4.583333333333333,1.25
SHEPPARD TO EGLINTON,YU,1,1,480,480.0,480.0,100.0,0.0,0.0,0.0,0.0
CASTLE FRANK STATION,BD,67,36,477,7.1,5.0,6.079664570230608,40.25157232704403,41.090146750524106,8.59538784067086,3.9832285115303985
FINCH WEST STATION,YU,55,31,464,8.4,5.0,17.24137931034483,46.76724137931034,23.275862068965516,11.637931034482758,1.0775862068965518
BATHURST STATION,BD,69,34,461,6.7,4.0,0.8676789587852495,34.273318872017356,52.27765726681128,8.459869848156181,4.121475054229935
ST PATRICK STATION,YU,63,30,450,7.1,4.0,23.77777777777778,53.77777777777778,18.22222222222222,3.5555555555555554,0.6666666666666667
GLENCAIRN STATION,YU,60,36,412,6.9,5.0,33.25242718446602,17.96116504854369,39.56310679611651,3.640776699029126,5.582524271844661
OLD MILL STATION,BD,67,25,384,5.7,4.0,3.125,33.33333333333333,30.208333333333332,7.291666666666667,26.041666666666668
LESLIE STATION,SHP,46,24,380,8.3,5.0,46.31578947368421,19.210526315789473,2.368421052631579,8.157894736842106,23.94736842105263
RUNNYMEDE STATION,BD,34,23,327,9.6,6.5,0.0,45.25993883792049,39.75535168195719,12.538226299694188,2.4464831804281344
PIONEER VILLAGE STATIO,YU,40,25,320,8.0,6.0,23.4375,38.75,22.5,7.8125,7.5
YORK UNIVERSITY STATIO,YU,33,19,262,7.9,5.0,17.17557251908397,41.603053435114504,32.44274809160305,7.633587786259542,1.1450381679389312
HIGHWAY 407 STATION,YU,41,19,259,6.3,4.0,30.888030888030887,14.285714285714285,22.393822393822393,18.91891891891892,13.513513513513514
BAYVIEW STATION,SHP,41,18,224,5.5,4.0,48.660714285714285,17.857142857142858,16.071428571428573,2.6785714285714284,14.732142857142858
BESSARION STATION,SHP,24,20,185,7.7,7.0,13.513513513513514,29.72972972972973,2.7027027027027026,6.486486486486487,47.56756756756757
COXWELL STATION APPROA,BD,1,1,184,184.0,184.0,100.0,0.0,0.0,0.0,0.0
UNION STATION TO KING,YU,21,12,148,7.0,5.0,16.89189189189189,41.891891891891895,41.21621621621622,0.0,0.0
KING TO UNION,YU,1,1,138,138.0,138.0,100.0,0.0,0.0,0.0,0.0
DONLANDS TO GREENWOOD,BD,1,1,129,129.0,129.0,100.0,0.0,0.0,0.0,0.0
FINCH STATION PLATFORM,YU,29,9,128,4.4,4.0,9.375,39.0625,32.03125,14.84375,4.6875
UNION STATION TO ST AN,YU,16,9,113,7.1,5.0,26.548672566371685,22.123893805309734,16.8141592920354,34.51327433628318,0.0
GREENWOOD YARD,BD,13,6,92,7.1,4.0,47.82608695652174,33.69565217391305,0.0,18.478260869565215,0.0
CEDARVALE STATION,YU,7,5,83,11.9,9.0,4.819277108433735,4.819277108433735,61.44578313253012,0.0,28.915662650602407
KENNEDY BD STATION - P,BD,18,9,83,4.6,4.5,0.0,43.373493975903614,16.867469879518072,28.915662650602407,10.843373493975903
KIPLING STATION - PLAT,BD,16,6,67,4.2,4.0,0.0,70.1492537313433,25.37313432835821,4.477611940298507,0.0
YORKDALE TO WILSON,YU,1,1,65,65.0,65.0,100.0,0.0,0.0,0.0,0.0
W/O WARDEN TO E/O KENN,BD,1,1,64,64.0,64.0,100.0,0.0,0.0,0.0,0.0
KENNEDY BD STATION PLA,BD,13,5,56,4.3,4.0,0.0,71.42857142857143,7.142857142857142,7.142857142857142,14.285714285714285
UNION TO ST ANDREW STA,YU,6,3,55,9.2,4.0,25.454545454545453,20.0,54.54545454545454,0.0,0.0
FINCH STATION - PLATFO,YU,11,4,54,4.9,4.0,11.11111111111111,24.074074074074073,42.592592592592595,12.962962962962962,9.25925925925926
UNION TO KING STATIONS,YU,4,2,51,12.8,11.5,45.09803921568628,49.01960784313725,0.0,0.0,5.88235294117647
KIPLING STATION PLATFO,BD,13,4,51,3.9,4.0,0.0,43.13725490196079,15.686274509803921,23.52941176470588,17.647058823529413
TMU STATION,YU,12,5,49,4.1,3.5,0.0,40.816326530612244,59.183673469387756,0.0,0.0
KING TO UNION STATION,YU,1,1,44,44.0,44.0,0.0,100.0,0.0,0.0,0.0
LAWRENCE STATION TO YO,YU,1,1,40,40.0,40.0,100.0,0.0,0.0,0.0,0.0
DUNDAS WEST STATION -,BD,1,1,37,37.0,37.0,0.0,100.0,0.0,0.0,0.0
NORTH YORK CENTRE STAT,YU,1,1,37,37.0,37.0,0.0,100.0,0.0,0.0,0.0
SPADINA TO ST GEORGE B,BD,1,1,36,36.0,36.0,0.0,100.0,0.0,0.0,0.0
UNION TO ST ANDREW,YU,5,3,34,6.8,5.0,11.76470588235294,70.58823529411765,17.647058823529413,0.0,0.0
BLOOR STATION TO ROSED,YU,1,1,30,30.0,30.0,0.0,0.0,100.0,0.0,0.0
LANSDOWNE,BD,1,1,30,30.0,30.0,100.0,0.0,0.0,0.0,0.0
MASSEY CREEK EE,BD,1,1,30,30.0,30.0,0.0,0.0,100.0,0.0,0.0
DAVISVILLE,YU,2,1,29,14.5,14.5,10.344827586206897,0.0,0.0,0.0,89.65517241379311
BLOOR TO ROSEDALE STAT,YU,1,1,28,28.0,28.0,0.0,0.0,100.0,0.0,0.0
OSGOODE POCKET,YU,2,2,23,11.5,11.5,52.17391304347826,0.0,0.0,0.0,47.82608695652174
UNION STATION TOWARDS,YU,5,2,23,4.6,4.0,21.73913043478261,47.82608695652174,0.0,30.434782608695656,0.0
FINCH TAIL,YU,1,1,22,22.0,22.0,0.0,0.0,100.0,0.0,0.0
SHEPPARD WEST TO WILSO,YU,1,1,21,21.0,21.0,100.0,0.0,0.0,0.0,0.0
PAPE STATION,YU,3,3,21,7.0,5.0,0.0,76.19047619047619,23.809523809523807,0.0,0.0
MUSEUM STATION',YU,1,1,21,21.0,21.0,0.0,100.0,0.0,0.0,0.0
OSSINGTON TO ST GEORGE,BD,1,1,21,21.0,21.0,0.0,0.0,100.0,0.0,0.0
N/O LAWRENCE WEST STAT,YU,1,1,20,20.0,20.0,100.0,0.0,0.0,0.0,0.0
KEELE YARD,BD,3,1,20,6.7,3.0,70.0,0.0,30.0,0.0,0.0
FINCH STATION- PLAT 1,YU,2,1,20,10.0,10.0,0.0,0.0,100.0,0.0,0.0
WARDEN STATION,YU,2,1,20,10.0,10.0,0.0,85.0,15.0,0.0,0.0
YONGE BD TO PAPE STATI,BD,2,2,20,10.0,10.0,0.0,100.0,0.0,0.0,0.0
LAWRENCE STATION,BD,2,2,19,9.5,9.5,0.0,100.0,0.0,0.0,0.0
WILSON YARD,YU,5,1,19,3.8,4.0,73.68421052631578,0.0,0.0,0.0,26.31578947368421
VAUGHAN MC STATION PLA,YU,4,2,19,4.8,4.5,0.0,21.052631578947366,0.0,0.0,78.94736842105263
SOUTH HOSTLER,YU,3,3,18,6.0,5.0,0.0,0.0,0.0,0.0,100.0
EGLINTON,YU,2,2,18,9.0,9.0,50.0,0.0,0.0,0.0,50.0
UNION STATION TO ST. A,YU,2,1,18,9.0,9.0,0.0,16.666666666666664,83.33333333333334,0.0,0.0
UNION STATION TOWARD S,YU,2,2,17,8.5,8.5,41.17647058823529,58.82352941176471,0.0,0.0,0.0
COXWELL STATION,YU,1,1,16,16.0,16.0,0.0,100.0,0.0,0.0,0.0
UNION TO KING,YU,2,2,16,8.0,8.0,50.0,50.0,0.0,0.0,0.0
GREENWOOD WYE,BD,3,1,16,5.3,3.0,18.75,18.75,0.0,62.5,0.0
LESLIE STATION - APPRO,SHP,1,1,16,16.0,16.0,0.0,0.0,0.0,0.0,100.0
VMC STATION - PLATFORM,YU,3,2,16,5.3,5.0,0.0,56.25,43.75,0.0,0.0
DAVISVILLE - ST. CLAIR,YU,1,1,15,15.0,15.0,100.0,0.0,0.0,0.0,0.0
MAIN STATION,BD,1,1,14,14.0,14.0,0.0,0.0,100.0,0.0,0.0
ST PATRICK STATION TO,YU,1,1,13,13.0,13.0,100.0,0.0,0.0,0.0,0.0
DAVISVILLE YARD,YU,4,0,13,3.2,3.0,100.0,0.0,0.0,0.0,0.0
VMC STATION PLATFORM 2,YU,3,1,13,4.3,4.0,23.076923076923077,0.0,76.92307692307693,0.0,0.0
UNION STATION - ST AND,YU,3,1,13,4.3,4.0,46.15384615384615,30.76923076923077,23.076923076923077,0.0,0.0
LAWRENCE STATION APPRO,YU,1,1,13,13.0,13.0,0.0,0.0,100.0,0.0,0.0
FINCH STATION - PLAT 1,YU,3,1,12,4.0,3.0,0.0,25.0,25.0,50.0,0.0
DUNDAS,YU,2,2,12,6.0,6.0,0.0,41.66666666666667,0.0,0.0,58.333333333333336
LANSDOWNE STATION,YU,1,1,12,12.0,12.0,0.0,0.0,100.0,0.0,0.0
VICTORIA PARK TO KENNE,BD,1,1,12,12.0,12.0,0.0,0.0,0.0,0.0,100.0
KEELE TO OSSINGTON,BD,1,1,11,11.0,11.0,0.0,100.0,0.0,0.0,0.0
NORTH YORK CENTRE,YU,1,1,11,11.0,11.0,0.0,0.0,100.0,0.0,0.0
NORTH YORK CTR STATION,BD,1,1,11,11.0,11.0,0.0,0.0,100.0,0.0,0.0
VAUGHAN MC STATION - P,YU,1,1,11,11.0,11.0,0.0,0.0,0.0,100.0,0.0
ST CLAIR STATION,SHP,1,1,11,11.0,11.0,0.0,0.0,100.0,0.0,0.0
DUNDAS STATION,SHP,1,1,11,11.0,11.0,0.0,100.0,0.0,0.0,0.0
ISLINGTON STATION APPR,BD,1,1,11,11.0,11.0,0.0,100.0,0.0,0.0,0.0
UNION STATION TOWARD K,YU,1,1,10,10.0,10.0,0.0,0.0,100.0,0.0,0.0
VICTORIA PARK - WARDEN,BD,1,1,10,10.0,10.0,0.0,100.0,0.0,0.0,0.0
SHEPPARD-YONGE,SHP,1,1,10,10.0,10.0,100.0,0.0,0.0,0.0,0.0
OLD MILL S,BD,1,1,10,10.0,10.0,100.0,0.0,0.0,0.0,0.0
KENNEDY BD STATION PL,BD,3,0,10,3.3,3.0,0.0,40.0,30.0,0.0,30.0
APPRAOCHING KENNEDY,BD,1,1,10,10.0,10.0,100.0,0.0,0.0,0.0,0.0
KENNEDY BD CROSSOVER,BD,1,1,10,10.0,10.0,100.0,0.0,0.0,0.0,0.0
KENNEDY BD STATION PAL,BD,2,2,10,5.0,5.0,0.0,100.0,0.0,0.0,0.0
ST. PATRICK STATION,YU,1,1,9,9.0,9.0,100.0,0.0,0.0,0.0,0.0
DAVISVILLE BUILD-UP,YU,3,0,9,3.0,3.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333
SHEPPARD STATION TO YO,YU,1,1,9,9.0,9.0,0.0,0.0,0.0,0.0,100.0
VMC STATION PLAT 1,YU,2,1,8,4.0,4.0,0.0,0.0,37.5,62.5,0.0
KEELE,BD,1,1,8,8.0,8.0,0.0,0.0,100.0,0.0,0.0
VMC STATION PLATFORM 1,YU,2,0,8,4.0,4.0,0.0,0.0,50.0,0.0,50.0
SHEPPARD YONGE STATION,SHP,1,1,8,8.0,8.0,100.0,0.0,0.0,0.0,0.0
