station,line,category,count,total_delay_min,mean_delay_min
VMC STATION PLAT 2,YU,Infrastructure,1,4,4.0
VMC STATION PLATFORM 1,YU,Safety,1,4,4.0
VMC STATION PLATFORM 1,YU,Transportation,1,4,4.0
VMC STATION PLATFORM 2,YU,Infrastructure,1,3,3.0
VMC STATION PLATFORM 2,YU,Safety,2,10,5.0
VMC STATION- PLAT 1,YU,Safety,1,3,3.0
VMC STATION- PLAT 2,YU,Operations,1,3,3.0
W/O WARDEN TO E/O KENN,BD,Infrastructure,1,64,64.0
WARDEN,BD,Transportation,1,3,3.0
WARDEN STATION,BD,Equipment,20,102,5.1
WARDEN STATION,BD,Infrastructure,44,409,9.3
WARDEN STATION,BD,Operations,67,566,8.4
WARDEN STATION,BD,Safety,38,333,8.8
WARDEN STATION,BD,Transportation,34,233,6.9
WARDEN STATION,YU,Operations,1,17,17.0
WARDEN STATION,YU,Safety,1,3,3.0
WELLESLEY STATION,YU,Equipment,1,3,3.0
WELLESLEY STATION,YU,Infrastructure,23,114,5.0
WELLESLEY STATION,YU,Operations,66,497,7.5
WELLESLEY STATION,YU,Safety,38,242,6.4
WELLESLEY STATION,YU,Transportation,4,19,4.8
WILSO STATION,YU,Operations,1,3,3.0
WILSON STATION,BD,Operations,1,3,3.0
WILSON STATION,YU,Equipment,47,224,4.8
WILSON STATION,YU,Infrastructure,119,899,7.6
WILSON STATION,YU,Operations,126,624,5.0
WILSON STATION,YU,Safety,36,275,7.6
WILSON STATION,YU,Transportation,39,170,4.4
WILSON YARD,YU,Infrastructure,4,14,3.5
WILSON YARD,YU,Transportation,1,5,5.0
WOODBINE STATION,BD,Equipment,7,26,3.7
WOODBINE STATION,BD,Infrastructure,4,173,43.2
WOODBINE STATION,BD,Operations,40,248,6.2
WOODBINE STATION,BD,Safety,17,173,10.2
WOODBINE STATION,BD,Transportation,6,23,3.8
YONGE BD TO PAPE STATI,BD,Operations,2,20,10.0
YONGE STATION,BD,Equipment,11,147,13.4
YONGE STATION,BD,Infrastructure,17,192,11.3
YONGE STATION,BD,Operations,55,362,6.6
YONGE STATION,BD,Safety,80,513,6.4
YONGE STATION,BD,Transportation,11,73,6.6
YORK MILLS,YU,Infrastructure,1,7,7.0
YORK MILLS STATION,YU,Equipment,20,157,7.8
YORK MILLS STATION,YU,Infrastructure,32,346,10.8
YORK MILLS STATION,YU,Operations,30,182,6.1
YORK MILLS STATION,YU,Safety,38,457,12.0
YORK MILLS STATION,YU,Transportation,19,133,7.0
YORK UNIVERSITY STATIO,BD,Operations,1,4,4.0
YORK UNIVERSITY STATIO,YU,Equipment,3,20,6.7
YORK UNIVERSITY STATIO,YU,Infrastructure,9,45,5.0
YORK UNIVERSITY STATIO,YU,Operations,12,109,9.1
YORK UNIVERSITY STATIO,YU,Safety,8,85,10.6
YORK UNIVERSITY STATIO,YU,Transportation,1,3,3.0
YORKDALE STATION,YU,Equipment,4,44,11.0
YORKDALE STATION,YU,Infrastructure,48,759,15.8
YORKDALE STATION,YU,Operations,23,117,5.1
YORKDALE STATION,YU,Safety,19,274,14.4
YORKDALE STATION,YU,Transportation,4,22,5.5
YORKDALE TO WILSON,YU,Infrastructure,1,65,65.0
