code,description,category,line_scope,count_all,count_significant,mean_delay_min,median_delay_min,total_delay_min,p95_delay_min
EUCA,Compressed Air,Equipment,YU,15,5,6.4,5.0,54,9.399999999999999
PUTOE,T & S Operator Related Problems,Infrastructure,YU,29,6,7.5,7.0,52,10.75
PUSCA,SCADA Related Problems,Infrastructure,YU,4,2,25.5,25.5,51,38.55
PUTCD,T & S Contractor Problems,Infrastructure,YU,3,1,42.0,42.0,46,42.0
PUSWZ,Work Zone Problems - Signals,Infrastructure,YU,16,4,7.75,6.0,45,12.949999999999998
MUNOA,No Operator Immediately Available - Not E.S.A. Related,Operations,YU,11,5,5.2,5.0,43,5.8
MUPLC,Fire/Smoke Plan C,Operations,YU,21,4,10.0,10.0,43,12.85
EUTR,Trucks,Equipment,YU,7,2,14.5,14.5,42,16.75
MUEC,Misc. Engineering & Construction Related Problems,Operations,YU,2,1,42.0,42.0,42,42.0
SUROB,Robbery,Safety/Security,YU,36,5,8.4,8.0,42,11.6
EULV,Low Voltage,Equipment,YU,5,3,11.333333333333334,12.0,38,16.5
TUSET,Train Controls Improperly Shut Down,Transportation,YU,10,3,5.0,5.0,36,5.0
EUTRD,TR Cab Doors,Equipment,YU,6,3,9.666666666666666,9.0,36,12.6
EUAL,Alternating Current,Equipment,YU,9,3,5.0,5.0,34,5.0
SUSP,Suspicious Package,Safety/Security,YU,6,3,9.0,7.0,31,13.299999999999999
EUCO,Couplers,Equipment,YU,4,3,8.333333333333334,8.0,29,9.8
EUOE,Rail Cars & Shops Opr. Error,Equipment,YU,24,2,8.5,8.5,29,11.65
EUVA,Warning Alarm Systems,Equipment,YU,9,2,5.5,5.5,27,5.95
TUOPO,OPTO Operator Related,Transportation,YU,7,3,6.333333333333333,6.0,26,6.9
EUECD,ECD / Line Mechanic Related Prob.,Equipment,YU,6,2,7.5,7.5,25,8.85
PUEME,,Infrastructure,,6,3,5.333333333333333,5.0,23,5.9
MUFS,Fire/Smoke Plan B - Source External to TTC,Operations,YU,6,2,8.5,8.5,17,10.75
PUTTC,Track Circuit Problems - Re: Defective Bolts/Bonding,Infrastructure,YU,7,1,14.0,14.0,17,14.0
TUUR,,Transportation,,3,1,5.0,5.0,13,5.0
EUOPO,OPTO RC&S Non-Train Door Monitoring,Equipment,YU,3,2,6.0,6.0,12,6.9
EUTM,Traction Motors,Equipment,YU,3,0,0.0,0.0,10,0.0
PUTSC,Signal Control Problem - Track,Infrastructure,YU,6,1,5.0,5.0,9,5.0
EULT,Lighting System,Equipment,YU,2,0,0.0,0.0,8,0.0
MUCP,,Operations,,228,0,0.0,0.0,4,0.0
PUSIO,Smart IO Failure,Infrastructure,YU,4,0,0.0,0.0,3,0.0
MUGD,Miscellaneous General Delays,Operations,YU,26,0,0.0,0.0,0,0.0
MUESA,No Operator Immediately Available,Operations,YU,2,0,0.0,0.0,0,0.0
MUNCA,,Operations,,939,0,0.0,0.0,0,0.0
PUMEL,Escalator/Elevator Incident,Infrastructure,YU,811,0,0.0,0.0,0,0.0
PUDCS,Data Communications System Failure,Infrastructure,YU,1,0,0.0,0.0,0,0.0
PUCBI,Central Logic Controller Failure,Infrastructure,YU,1,0,0.0,0.0,0,0.0
PUMST,Station Stairway Incident,Infrastructure,YU,323,0,0.0,0.0,0,0.0
PUTNT,T&S Related Problem - NTF,Infrastructure,YU,1,0,0.0,0.0,0,0.0
TUNCA,,Transportation,,1047,0,0.0,0.0,0,0.0
TUST,Storm Trains,Transportation,YU,18,0,0.0,0.0,0,0.0
XXXXX,,Other,,3,0,0.0,0.0,0,0.0
