quantile,pseudo_r2,cumulative_snow,temp_mean_c_coef,temp_mean_c_p,total_rain_mm_coef,total_rain_mm_p,total_snow_cm_coef,total_snow_cm_p
0.25,0.7683989915065108,-1780.9444811002177,434.04253571011213,7.522018875479634e-14,-471.2770092766375,3.744993984526681e-41,-477.3909064133386,7.39061216951565e-05
0.5,0.7942004893589445,-1671.3884130730903,432.3993520215445,9.653851094335514e-18,-283.6865664646393,2.8985246472674437e-16,-415.6547752144106,0.00010920969833840509
0.75,0.7801582000755358,-1649.3398454997223,368.5591677520424,1.806766022301627e-14,-181.67217965610325,1.7510655992136949e-06,-290.04008581116796,0.001666578837170452
