location_name,month,actual_mean_daily,historical_mean_daily,historical_std_daily,delta,z_score,is_outlier
"Keele St, north of Four Winds Dr (multi-use path)",6,64.8,98.77222222222223,24.259089552700154,-33.97222222222223,-1.4003914758804688,False
"Keele St, north of Four Winds Dr (multi-use path)",7,82.87096774193549,108.9740452354468,31.238995161202865,-26.103077493511307,-0.8355927378205145,False
"Keele St, north of Four Winds Dr (multi-use path)",8,80.58064516129032,106.06451612903226,22.93312451001572,-25.483870967741936,-1.111225422275635,False
"Keele St, north of Four Winds Dr (multi-use path)",9,86.13333333333334,108.86666666666666,25.958492508875263,-22.73333333333332,-0.8757570696973541,False
"Keele St, north of Four Winds Dr (multi-use path)",10,102.58064516129032,97.39784946236558,22.486262040983807,5.1827956989247355,0.2304872054536451,False
"Keele St, north of Four Winds Dr (multi-use path)",11,61.67857142857143,60.43333333333334,8.366069035760525,1.2452380952380935,0.1488438703906648,False
"Keele St, north of Four Winds Dr (multi-use path)",12,22.952380952380953,29.866376143725372,7.122301489504753,-6.913995191344419,-0.9707529513504464,False
"Keele St, south of Sheppard Ave W (multi-use path)",9,66.76666666666667,59.111111111111114,9.466686228461791,7.6555555555555515,0.808683774955904,False
"Keele St, south of Sheppard Ave W (multi-use path)",10,52.516129032258064,43.354838709677416,7.48699879020261,9.161290322580648,1.2236265263684822,False
"Keele St, south of Sheppard Ave W (multi-use path)",11,23.366666666666667,27.020689655172415,3.3667094411837084,-3.654022988505748,-1.085339573355348,False
"Keele St, south of Sheppard Ave W (multi-use path)",12,6.580645161290323,13.059943146706217,2.7454801516203386,-6.4792979854158945,-2.35998718897746,True
"Sherbourne St, north of Gerrard St",11,1261.4666666666667,1171.7196078431373,425.62814131917355,89.74705882352941,0.2108579064940848,False
"Sherbourne St, north of Gerrard St",12,607.9354838709677,761.8924731182797,128.987356434706,-153.95698924731198,-1.193582018445705,False
"Sherbourne St, north of Wellesley St E",11,1288.8333333333333,1274.4833333333333,545.165104196273,14.349999999999909,0.026322301059888736,False
"Sherbourne St, north of Wellesley St E",12,674.5333333333333,842.6021505376344,198.03248751578425,-168.06881720430113,-0.8486931579390737,False
"Yonge St, north of Bloor St",10,1950.032258064516,1608.0021505376344,474.36595155768197,342.0301075268817,0.7210258375495812,False
"Yonge St, north of Bloor St",11,1416.6666666666667,1323.4666666666665,497.6585654620825,93.20000000000027,0.18727699364214268,False
"Yonge St, north of Bloor St",12,830.3333333333334,884.9784946236559,288.0644986694597,-54.64516129032256,-0.18969765987382323,False
"Yonge St, north of St Clair Ave",11,884.1333333333333,830.6228758169935,485.50649639371176,53.510457516339784,0.11021573946756534,False
"Yonge St, north of St Clair Ave",12,520.3548387096774,520.516129032258,271.14607610837714,-0.16129032258061216,-0.0005948466040723539,False
"Yonge St, south of Davisville Ave",11,643.3333333333334,585.5419934640523,320.2743640701659,57.791339869281046,0.18044322728440446,False
