lag,variable,coefficient,ci_low,ci_high,p_value
0,complaints_311,73.22638282761012,-62.59263015248645,209.0453958077067,0.28957699589860186
1,complaints_lag_1,-80.32336574723396,-219.93152756003178,59.28479606556385,0.2584682907961793
2,complaints_lag_2,41.284918535075235,-95.65130975827606,178.22114682842653,0.5534553210317477
3,complaints_lag_3,-22.821497553692833,-155.89310243743512,110.25010733004945,0.7360032723554104
4,complaints_lag_4,-6.5258965947446885,-138.46881115094067,125.41701796145128,0.9225337904627608
5,complaints_lag_5,-60.14465878703094,-196.43531895571098,76.14600138164909,0.385885228262416
6,complaints_lag_6,17.55968470596828,-118.74949905909192,153.86886847102846,0.8000637692816754
7,complaints_lag_7,-7.275711158186944,-136.996751629452,122.44532931307813,0.9121934662630512
