model,predictor,coefficient,std_err,t_value,p_value
binary_all_trips,Intercept,7912.3466407888045,811.2187808942903,9.753653178574352,1.7794689941942122e-22
binary_all_trips,C(day_of_week)[T.1],1901.1016116370554,561.5559318011409,3.3854180927969906,0.000710699158460329
binary_all_trips,C(day_of_week)[T.2],2220.620983674956,589.9972322714134,3.763782035257777,0.00016736277378516992
binary_all_trips,C(day_of_week)[T.3],1378.505524655516,724.5522622160428,1.9025618944855094,0.05709773533168716
binary_all_trips,C(day_of_week)[T.4],1855.5932201660396,571.8008201458875,3.245174114462811,0.0011737882995410385
binary_all_trips,C(day_of_week)[T.5],1213.8831665160308,772.8075682280718,1.5707444083386466,0.1162420295354666
binary_all_trips,C(day_of_week)[T.6],199.95996068947866,628.8198979670124,0.31799241934924977,0.7504906871798425
binary_all_trips,C(month)[T.2],-1517.9365010127274,1041.0487750665761,-1.4580839412789797,0.14481740717552713
binary_all_trips,C(month)[T.3],450.0582224299499,829.5095792839617,0.5425594033747546,0.587433196804438
binary_all_trips,C(month)[T.4],3637.9327525409867,1156.400372756165,3.1459110860283936,0.0016557033208794288
binary_all_trips,C(month)[T.5],8090.976847085476,1665.5904426294785,4.857722907146488,1.1874342459622903e-06
binary_all_trips,C(month)[T.6],14726.189754853269,2184.604635005354,6.740894676723589,1.5741428869130346e-11
binary_all_trips,C(month)[T.7],19302.18306850378,2353.743140442737,8.20063274401006,2.3912502487707044e-16
binary_all_trips,C(month)[T.8],19414.931167234543,2003.4752938614627,9.690626695882308,3.3049444064301685e-22
binary_all_trips,C(month)[T.9],18879.889392443347,1835.8804360987506,10.283833860424565,8.334483367379512e-25
binary_all_trips,C(month)[T.10],13914.735497080717,1583.284049712301,8.788527554237136,1.5153287406728476e-18
binary_all_trips,C(month)[T.11],6666.181134533417,1143.2029826995463,5.831143931055861,5.5048674766950244e-09
binary_all_trips,C(month)[T.12],185.91068518509095,1202.9537820814471,0.1545451603829811,0.877179906070287
binary_all_trips,is_disruption_day,135.0083472897456,376.72945984499745,0.35836949769018267,0.7200668151649612
binary_all_trips,temp_mean_c,445.1437046111719,74.20827446219377,5.9985723672628355,1.9905980561006393e-09
binary_all_trips,total_rain_mm,-252.97610329223107,64.30172692931984,-3.93420387558644,8.347290949124641e-05
