date,total_delay_min,num_events,max_single_delay_min,is_disruption_day,is_strict_disruption
2025-06-12,242,82,31,1,0
2025-06-13,124,79,14,0,0
2025-06-14,221,57,37,1,0
2025-06-15,127,51,26,0,0
2025-06-16,220,69,79,1,1
2025-06-17,226,54,27,0,0
2025-06-18,106,67,18,0,0
2025-06-19,152,58,30,1,0
2025-06-20,143,62,14,0,0
2025-06-21,147,59,29,0,0
2025-06-22,212,52,65,1,1
2025-06-23,180,80,20,0,0
2025-06-24,186,92,18,0,0
2025-06-25,146,67,38,1,0
2025-06-26,135,75,29,0,0
2025-06-27,214,86,26,0,0
2025-06-28,196,55,50,1,0
2025-06-29,137,45,20,0,0
2025-06-30,125,64,19,0,0
2025-07-01,222,59,20,0,0
2025-07-02,138,58,28,0,0
2025-07-03,90,55,8,0,0
2025-07-04,173,59,51,1,0
2025-07-05,159,47,29,0,0
2025-07-06,144,58,76,1,1
2025-07-07,104,76,20,0,0
2025-07-08,189,72,30,1,0
2025-07-09,127,81,17,0,0
2025-07-10,92,62,13,0,0
2025-07-11,256,88,65,1,1
2025-07-12,118,66,12,0,0
2025-07-13,144,54,21,0,0
2025-07-14,113,66,10,0,0
2025-07-15,272,69,37,1,0
2025-07-16,211,90,25,0,0
2025-07-17,277,97,70,1,1
2025-07-18,324,76,167,1,1
2025-07-19,163,64,27,0,0
2025-07-20,177,50,80,1,1
2025-07-21,138,70,22,0,0
2025-07-22,199,70,35,1,0
2025-07-23,261,57,64,1,1
2025-07-24,257,65,52,1,0
2025-07-25,151,58,44,1,0
2025-07-26,161,46,39,1,0
2025-07-27,104,44,13,0,0
2025-07-28,193,58,21,0,0
2025-07-29,124,63,18,0,0
2025-07-30,268,144,62,1,1
2025-07-31,248,100,64,1,1
2025-08-01,137,118,9,0,0
2025-08-02,139,91,21,0,0
2025-08-03,91,75,24,0,0
2025-08-04,86,56,26,0,0
2025-08-05,154,103,16,0,0
2025-08-06,136,95,21,0,0
2025-08-07,175,112,29,0,0
2025-08-08,128,109,17,0,0
2025-08-09,176,107,39,1,0
2025-08-10,147,99,20,0,0
2025-08-11,140,101,17,0,0
2025-08-12,142,94,14,0,0
2025-08-13,312,121,97,1,1
2025-08-14,222,91,83,1,1
2025-08-15,141,104,19,0,0
2025-08-16,290,99,98,1,1
2025-08-17,350,115,138,1,1
2025-08-18,181,99,20,0,0
2025-08-19,150,120,23,0,0
2025-08-20,106,64,16,0,0
2025-08-21,204,59,63,1,1
2025-08-22,174,65,20,0,0
2025-08-23,126,107,27,0,0
2025-08-24,161,76,68,1,1
2025-08-25,141,68,21,0,0
2025-08-26,143,63,17,0,0
2025-08-27,123,60,11,0,0
2025-08-28,127,55,15,0,0
2025-08-29,280,72,78,1,1
2025-08-30,133,65,14,0,0
2025-08-31,112,56,16,0,0
2025-09-01,45,35,6,0,0
2025-09-02,115,62,14,0,0
2025-09-03,251,69,149,1,1
2025-09-04,129,75,22,0,0
2025-09-05,156,77,15,0,0
2025-09-06,73,49,17,0,0
2025-09-07,122,42,19,0,0
2025-09-08,59,46,11,0,0
2025-09-09,92,68,8,0,0
2025-09-10,199,74,17,0,0
2025-09-11,92,52,28,0,0
2025-09-12,125,75,18,0,0
2025-09-13,138,52,43,1,0
2025-09-14,73,34,9,0,0
2025-09-15,133,75,10,0,0
2025-09-16,291,71,52,1,0
2025-09-17,46,51,7,0,0
2025-09-18,163,75,14,0,0
2025-09-19,90,59,12,0,0
2025-09-20,103,47,16,0,0
2025-09-21,128,53,30,1,0
2025-09-22,88,57,10,0,0
2025-09-23,174,48,129,1,1
2025-09-24,191,72,19,0,0
2025-09-25,239,82,35,1,0
2025-09-26,153,68,20,0,0
2025-09-27,175,57,28,0,0
2025-09-28,134,54,23,0,0
2025-09-29,127,65,13,0,0
2025-09-30,289,69,83,1,1
2025-10-01,227,76,42,1,0
2025-10-02,213,79,76,1,1
2025-10-03,121,70,22,0,0
2025-10-04,152,58,27,0,0
2025-10-05,178,55,35,1,0
2025-10-06,110,52,16,0,0
2025-10-07,278,66,35,1,0
2025-10-08,165,77,28,0,0
2025-10-09,130,63,25,0,0
2025-10-10,153,62,21,0,0
2025-10-11,116,45,17,0,0
2025-10-12,152,43,23,0,0
2025-10-13,149,46,41,1,0
2025-10-14,162,60,32,1,0
2025-10-15,306,75,53,1,0
2025-10-16,146,68,19,0,0
2025-10-17,187,94,25,0,0
2025-10-18,192,54,35,1,0
2025-10-19,144,57,20,0,0
2025-10-20,156,68,36,1,0
2025-10-21,206,81,19,0,0
2025-10-22,74,53,22,0,0
2025-10-23,231,64,30,1,0
2025-10-24,136,75,16,0,0
2025-10-25,167,58,22,0,0
2025-10-26,77,44,13,0,0
2025-10-27,218,75,44,1,0
2025-10-28,101,66,10,0,0
2025-10-29,151,67,37,1,0
2025-10-30,177,86,50,1,0
2025-10-31,175,90,34,1,0
2025-11-01,121,52,20,0,0
2025-11-02,113,41,10,0,0
2025-11-03,192,91,60,1,1
2025-11-04,115,74,10,0,0
2025-11-05,214,78,27,0,0
2025-11-06,133,75,16,0,0
2025-11-07,204,77,18,0,0
2025-11-08,185,90,22,0,0
2025-11-09,216,69,42,1,0
2025-11-10,384,109,53,1,1
2025-11-11,320,72,156,1,1
2025-11-12,199,84,26,0,0
2025-11-13,296,72,110,1,1
2025-11-14,120,51,12,0,0
2025-11-15,320,66,163,1,1
2025-11-16,130,69,18,0,0
2025-11-17,241,80,30,1,0
2025-11-18,140,63,16,0,0
2025-11-19,240,80,19,0,0
2025-11-20,196,66,53,1,0
2025-11-21,214,86,37,1,0
2025-11-22,100,58,17,0,0
2025-11-23,100,42,13,0,0
2025-11-24,184,100,19,0,0
2025-11-25,198,82,21,0,0
2025-11-26,763,104,480,1,1
2025-11-27,174,99,16,0,0
2025-11-28,193,86,31,1,0
2025-11-29,73,45,13,0,0
2025-11-30,109,54,19,0,0
2025-12-01,185,95,16,0,0
2025-12-02,130,72,21,0,0
2025-12-03,161,65,23,0,0
2025-12-04,235,87,21,0,0
2025-12-05,185,79,21,0,0
2025-12-06,295,60,152,1,1
2025-12-07,251,75,39,1,0
2025-12-08,268,76,44,1,0
2025-12-09,201,77,34,1,0
2025-12-10,474,82,206,1,1
2025-12-11,207,77,33,1,0
2025-12-12,215,65,44,1,0
2025-12-13,197,66,25,0,0
2025-12-14,141,57,26,0,0
2025-12-15,120,63,11,0,0
2025-12-16,118,63,15,0,0
2025-12-17,212,91,19,0,0
2025-12-18,212,86,19,0,0
2025-12-19,302,81,150,1,1
2025-12-20,179,73,24,0,0
2025-12-21,138,63,32,1,0
2025-12-22,262,98,33,1,0
2025-12-23,390,96,184,1,1
2025-12-24,158,72,28,0,0
2025-12-25,64,41,10,0,0
2025-12-26,106,49,11,0,0
2025-12-27,158,62,30,1,0
2025-12-28,204,74,24,0,0
2025-12-29,298,62,65,1,1
2025-12-30,103,57,13,0,0
2025-12-31,289,78,34,1,0
