year,start_date,end_date,duration_days,max_drop_pct,total_lost_trips,trips_at_start,trips_at_lowest,baseline_at_start
2019,2019-04-26,2019-04-27,2,0.334,3445,3484,3484,5230
2026,2026-01-25,2026-01-27,3,0.837,3374,442,246,2006
2020,2020-01-25,2020-01-26,2,0.496,3333,1715,1715,3399
2019,2019-11-23,2019-11-24,2,0.342,3331,3769,3350,5358
2019,2019-01-19,2019-01-21,3,0.856,3128,558,222,1778
2023,2023-01-25,2023-01-26,2,0.348,3117,3456,3456,5303
2018,2018-05-03,2018-05-04,2,0.286,3087,4163,4163,5830
2019,2019-11-02,2019-11-03,2,0.294,3067,3730,3730,5281
2024,2024-01-13,2024-01-14,2,0.279,3024,4670,4071,6122
2019,2019-12-06,2019-12-08,3,0.369,2980,2276,2028,2945
2018,2018-11-16,2018-11-18,3,0.321,2954,2538,2176,3429
2025,2025-02-22,2025-02-23,2,0.406,2915,2119,2119,3319
2022,2022-02-17,2022-02-19,3,0.494,2879,1471,1107,2215
2018,2018-12-08,2018-12-09,2,0.436,2745,1819,1819,3227
2017,2017-02-01,2017-02-03,3,0.629,2724,775,775,2089
2017,2017-05-01,2017-05-03,3,0.627,2724,1202,709,1746
2025,2025-02-15,2025-02-17,3,0.877,2695,1198,164,1827
2019,2019-03-16,2019-03-17,2,0.437,2691,1813,1813,3067
2020,2020-12-25,2020-12-26,2,0.7,2651,666,666,2218
2025,2025-01-18,2025-01-19,2,0.215,2541,4870,4645,6200
2018,2018-12-01,2018-12-02,2,0.365,2531,2197,2197,3461
2019,2019-05-03,2019-05-04,2,0.224,2530,4425,4425,5700
2019,2019-01-12,2019-01-13,2,0.491,2456,1690,1393,2800
2019,2019-03-23,2019-03-24,2,0.327,2319,2565,2565,3813
2019,2019-11-16,2019-11-17,2,0.322,2285,2341,2341,3452
2020,2020-01-04,2020-01-05,2,0.428,2243,2396,1979,3159
2021,2021-03-14,2021-03-15,2,0.295,2179,3039,3039,4308
2019,2019-11-11,2019-11-12,2,0.402,2167,2102,1716,3114
2019,2019-03-09,2019-03-10,2,0.607,2087,1490,920,2154
2018,2018-02-17,2018-02-19,3,0.546,2013,1054,775,1714
2019,2019-12-25,2019-12-26,2,0.611,1985,821,821,2110
2018,2018-12-15,2018-12-16,2,0.363,1966,2556,2138,3306
2018,2018-04-07,2018-04-08,2,0.372,1869,2111,1858,2877
2022,2022-01-17,2022-01-18,2,0.855,1786,194,194,1338
2020,2020-02-29,2020-03-01,2,0.354,1682,1805,1805,2792
2018,2018-01-12,2018-01-14,3,0.567,1678,748,515,1254
2018,2018-03-24,2018-03-25,2,0.353,1665,2314,1941,2921
2019,2019-02-17,2019-02-18,2,0.685,1646,657,456,1311
2022,2022-01-10,2022-01-11,2,0.364,1625,2201,1780,2808
2018,2018-03-10,2018-03-11,2,0.301,1578,1988,1878,2759
2021,2021-01-26,2021-01-27,2,0.5,1557,1046,1046,2091
2020,2020-03-30,2020-03-31,2,0.463,1544,1134,1134,2110
2018,2018-02-24,2018-02-25,2,0.283,1532,1870,1870,2592
2018,2018-02-10,2018-02-11,2,0.697,1508,335,335,994
2019,2019-02-12,2019-02-13,2,0.726,1391,315,315,1148
2019,2019-01-27,2019-01-29,3,0.685,1377,356,356,1128
2018,2018-02-03,2018-02-04,2,0.587,1338,917,558,1463
2018,2018-03-17,2018-03-18,2,0.248,1279,2094,2083,2687
2022,2022-02-03,2022-02-04,2,0.356,1245,1121,1121,1739
2018,2018-03-31,2018-04-01,2,0.259,1236,2027,1810,2631
2019,2019-02-23,2019-02-24,2,0.466,1222,1581,936,1987
2018,2018-01-06,2018-01-07,2,0.601,1169,398,398,997
2018,2018-12-22,2018-12-23,2,0.28,1157,1683,1408,2338
2019,2019-03-02,2019-03-03,2,0.445,1087,708,708,1276
2026,2026-01-31,2026-02-01,2,0.261,1085,1489,1489,2016
2018,2018-01-21,2018-01-22,2,0.279,1051,1349,1349,1870
2017,2017-01-04,2017-01-05,2,0.303,1009,1442,1411,1837
2019,2019-02-02,2019-02-03,2,0.444,934,784,784,1409
2022,2022-01-29,2022-01-30,2,0.257,765,1090,1090,1466
