,trips,total_complaints,mean_temp_c,total_snow_cm
trips,1.0,-0.30943308767368094,0.6275683088311452,-0.2479360941357173
total_complaints,-0.30943308767368094,1.0,-0.23840969411070562,-0.04834081824384422
mean_temp_c,0.6275683088311452,-0.23840969411070562,1.0,-0.07308797482447568
total_snow_cm,-0.2479360941357173,-0.04834081824384422,-0.07308797482447568,1.0
