year,n_counters_active,total_volume,mean_daily_per_counter,yoy_pct_change
2022,11,309725,318.0,
2023,14,4259427,959.5,62.1
2024,14,5546380,1157.7,43.73
2025,17,6915984,1410.3,-7.72
